id,pet,country,score,age,weight
S194,dog,UK,105,7,18.45711639010783
S195,dog,UK,106,11,20.811676898001497
S196,dog,UK,110,14,20.612253129712645
S197,dog,UK,108,11,20.93421804685739
S198,dog,UK,104,11,21.26509225005911
S199,dog,UK,106,7,21.691178486920542
S200,dog,UK,115,11,21.975009211643037
S201,dog,NL,91,3,15.412800221715532
S202,dog,NL,108,11,17.736522697132042
S203,dog,NL,98,9,16.707476362407903
S204,dog,NL,98,8,19.643228073733304
S205,dog,NL,102,1,17.783006777251842
S206,dog,NL,94,6,16.888203016740427
S207,dog,NL,125,9,20.560384535127522
S208,dog,NL,93,9,20.639270018300984
S209,dog,NL,104,6,17.716748307876017
S210,dog,NL,86,5,17.194525202866508
S211,dog,NL,100,7,18.856379758105263
S212,dog,NL,78,7,16.944272868770383
S213,dog,NL,95,10,16.90072073555609
S214,dog,NL,82,10,19.61541917233097
S215,dog,NL,101,4,15.367617681183898
S216,dog,NL,97,5,17.3009150268882
S217,dog,NL,88,7,17.73945674241426
S218,dog,NL,101,5,18.039303547262715
S219,dog,NL,109,11,19.913022922739426
S220,dog,NL,84,2,16.679015073388392
S221,dog,NL,104,7,16.271295479316926
S222,dog,NL,94,9,21.387252363432957
S223,dog,NL,86,5,18.1300208839339
S224,dog,NL,98,5,19.581471933361396
S225,dog,NL,125,7,21.298629046021215
S226,dog,NL,110,11,18.332264331690663
S227,dog,NL,88,9,17.821232676197013
S228,dog,NL,107,8,22.28072468050572
S229,dog,NL,90,2,17.769290580638987
S230,dog,NL,106,4,15.734702965864852
S231,dog,NL,82,6,17.850324619711344
S232,dog,NL,98,6,18.33486988418661
S233,dog,NL,81,5,14.75743896144948
S234,dog,NL,117,6,19.276495241595125
S235,dog,NL,86,8,19.56626495819291
S236,dog,NL,88,2,15.773965987474327
S237,dog,NL,101,11,18.704879717149005
S238,dog,NL,106,7,15.165999542848763
S239,dog,NL,96,4,18.005816458039554
S240,dog,NL,93,7,16.289042198781523
S241,dog,NL,102,5,19.81308523805887
S242,dog,NL,98,6,18.141063286468842
S243,dog,NL,88,10,16.97971001959133
S244,dog,NL,105,4,18.00935052625052
S245,dog,NL,106,7,13.16877447869587
S246,dog,NL,100,3,15.4780862722126
S247,dog,NL,112,6,17.09135258536081
S248,dog,NL,102,3,15.824122629525196
S249,dog,NL,101,9,19.747171174735875
S250,dog,NL,88,9,18.839143775061412
S251,dog,NL,102,6,15.534780372554668
S252,dog,NL,95,8,20.265851287585654
S253,dog,NL,78,8,16.26741051667126
S254,dog,NL,98,11,19.98474312488007
S255,dog,NL,90,6,18.231813490204953
S256,dog,NL,95,2,14.77943372945798
S257,dog,NL,112,13,22.382807748996193
S258,dog,NL,108,9,19.5959381363352
S259,dog,NL,105,4,18.0219423633216
S260,dog,NL,99,6,18.249779703068693
S261,dog,NL,95,10,20.149043016920512
S262,dog,NL,111,9,20.44654418073795
S263,dog,NL,107,7,17.09875035717161
S264,dog,NL,92,16,23.076814760896454
S265,dog,NL,113,6,16.683939253738853
S266,dog,NL,94,10,17.1727365571317
S267,dog,NL,119,7,19.305612560823647
S268,dog,NL,113,15,18.143220550266566
S269,dog,NL,110,10,21.264183117276993
S270,dog,NL,106,9,17.591576600130743
S271,dog,NL,108,5,15.370780309410929
S272,dog,NL,108,9,18.369410945031643
S273,dog,NL,94,8,17.607359743022567
S274,dog,NL,106,6,17.03696612208934
S275,dog,NL,110,6,16.196217068257816
S276,dog,NL,98,5,16.594855796076498
S277,dog,NL,89,5,17.844982739717608
S278,dog,NL,95,10,20.438444925419336
S279,dog,NL,96,3,14.278811985861626
S280,dog,NL,102,8,18.587780235637045
S281,dog,NL,86,5,18.46865812636805
S282,dog,NL,99,6,20.387336740760407
S283,dog,NL,105,3,16.245031610021382
S284,dog,NL,99,4,17.663264789905007
S285,dog,NL,101,10,17.777214412615482
S286,dog,NL,88,3,17.461615884028436
S287,dog,NL,92,5,18.028502122061877
S288,dog,NL,91,12,17.289494137192314
S289,dog,NL,112,7,18.983758512892965
S290,dog,NL,101,9,20.50627248205688
S291,dog,NL,91,7,17.036883047884437
S292,dog,NL,95,8,15.844389791850931
S293,dog,NL,117,10,20.263939069225586
S294,dog,NL,103,13,19.14298623149451
S295,dog,NL,110,4,19.772185417596933
S296,dog,NL,76,0,12.786889297744079
S297,dog,NL,110,5,14.587179487234698
S298,dog,NL,117,12,18.91098363658513
S299,dog,NL,117,6,18.996854503862814
S300,dog,NL,94,4,14.553649954597645
S301,dog,NL,80,5,18.578484304569713
S302,dog,NL,100,6,15.974018061819919
S303,dog,NL,95,5,13.79491467856531
S304,dog,NL,116,5,17.070648550670626
S305,dog,NL,98,4,17.01443659095306
S306,dog,NL,91,2,17.518883598779716
S307,dog,NL,87,8,20.06153069957541
S308,dog,NL,105,8,19.964253651994564
S309,dog,NL,88,4,16.94630471573566
S310,dog,NL,109,6,18.73501274654267
S311,dog,NL,108,10,17.309547553008148
S312,dog,NL,112,9,20.811714113541875
S313,dog,NL,104,6,17.735198227853505
S314,dog,NL,94,2,16.030909710754557
S315,dog,NL,112,7,19.209320820929033
S316,dog,NL,112,5,18.21265371789899
S317,dog,NL,91,9,16.04206481804943
S318,dog,NL,96,8,18.735148812649033
S319,dog,NL,93,5,17.091826543018417
S320,dog,NL,122,9,16.065269025399644
S321,dog,NL,75,7,14.611436372709388
S322,dog,NL,104,14,23.057602300314564
S323,dog,NL,120,15,21.561001782072072
S324,dog,NL,107,7,17.451837504570175
S325,dog,NL,91,7,18.26662702083381
S326,dog,NL,91,6,18.7384129656007
S327,dog,NL,104,10,21.234265628493024
S328,dog,NL,93,10,17.01204998040913
S329,dog,NL,120,9,22.771936639203997
S330,dog,NL,104,6,17.217102504128142
S331,dog,NL,105,10,21.871157402469656
S332,dog,NL,115,7,16.55940348030787
S333,dog,NL,96,11,20.243454398979704
S334,dog,NL,105,11,16.611381465695114
S335,dog,NL,87,7,19.681058665659066
S336,dog,NL,119,15,24.732781799130713
S337,dog,NL,112,8,18.105056099607275
S338,dog,NL,106,7,16.918279407259007
S339,dog,NL,90,10,18.58296005983985
S340,dog,NL,108,6,20.09430986813137
S341,dog,NL,112,2,14.791678792393135
S342,dog,NL,123,9,20.15079940547848
S343,dog,NL,105,7,18.00550790240143
S344,dog,NL,103,7,17.966671108330313
S345,dog,NL,91,5,18.70338001287573
S346,dog,NL,109,2,17.654324663051064
S347,dog,NL,107,5,18.900476858159053
S348,dog,NL,107,10,17.717981562782352
S349,dog,NL,104,12,21.390609473230757
S350,dog,NL,99,5,17.98978788010587
S351,dog,NL,102,3,15.781584332664634
S352,dog,NL,111,15,22.712665571994357
S353,dog,NL,100,7,17.678138113509323
S354,dog,NL,104,8,17.366751002324367
S355,dog,NL,84,10,17.75413285443426
S356,dog,NL,112,7,22.639127420813864
S357,dog,NL,103,10,19.56650911428817
S358,dog,NL,96,5,16.43012184280404
S359,dog,NL,90,11,20.06557026005643
S360,dog,NL,95,8,17.879799044952836
S361,dog,NL,108,4,18.56479149473988
S362,dog,NL,102,8,18.9899911079904
S363,dog,NL,81,10,18.3404043624974
S364,dog,NL,99,10,17.310715546577928
S365,dog,NL,92,6,17.93677483859759
S366,dog,NL,107,9,19.32461539615424
S367,dog,NL,84,7,16.546663839883585
S368,dog,NL,111,9,20.699912066942378
S369,dog,NL,110,8,18.29517429461122
S370,dog,NL,105,8,19.26235126327832
S371,dog,NL,85,5,17.633003343879796
S372,dog,NL,103,2,19.744803460207038
S373,dog,NL,100,7,14.953429231150405
S374,dog,NL,116,7,19.59989769083668
S375,dog,NL,89,2,15.590488534331037
S376,dog,NL,100,7,16.98182654671537
S377,dog,NL,104,9,16.937433633619076
S378,dog,NL,102,10,19.28397165304365
S379,dog,NL,103,6,21.745480747790072
S380,dog,NL,101,6,19.55735616160232
S381,dog,NL,90,4,19.434139548393336
S382,dog,NL,111,2,16.12266961151807
S383,dog,NL,102,7,17.01363850694707
S384,dog,NL,88,7,17.91553714131067
S385,dog,NL,89,7,20.420570627183707
S386,dog,NL,101,7,18.874134926147953
S387,dog,NL,89,2,14.1308351176984
S388,dog,NL,91,9,13.837698260384524
S389,dog,NL,89,11,19.498822368085072
S390,dog,NL,110,11,15.307993875608094
S391,dog,NL,81,7,21.264639005352212
S392,dog,NL,90,11,18.49702320232822
S393,dog,NL,95,5,15.220662959917185
S394,dog,NL,82,10,17.888616809464626
S395,dog,NL,117,6,17.030723899956058
S396,dog,NL,105,7,15.546743662973268
S397,dog,NL,95,3,16.464961940191984
S398,dog,NL,104,7,17.51861589373768
S399,dog,NL,92,10,18.286587458417106
S400,dog,NL,102,9,18.77691121976968
S401,cat,UK,95,2,8.571052942998268
S402,cat,UK,96,7,11.196835603980437
S403,cat,UK,72,4,10.30736396721685
S404,cat,UK,99,6,7.243529171489044
S405,cat,UK,85,3,6.650295312698676
S406,cat,UK,115,2,3.6163482985292097
S407,cat,UK,89,6,11.229347724151554
S408,cat,UK,86,10,15.13246495825893
S409,cat,UK,87,4,7.8785747876518775
S410,cat,UK,106,10,8.878602853786129
S411,cat,UK,89,5,5.914012598137983
S412,cat,UK,93,9,11.432904599904957
S413,cat,UK,88,5,9.538015777161323
S414,cat,UK,78,5,9.45001931714486
S415,cat,UK,98,10,8.317346601664076
S416,cat,UK,83,10,9.880150606292583
S417,cat,UK,92,7,10.739811609328713
S418,cat,UK,93,5,9.113906184274356
S419,cat,UK,76,10,13.249975562430787
S420,cat,UK,92,7,8.199137865882582
S421,cat,UK,100,10,11.593651461438927
S422,cat,UK,99,7,10.439764609804659
S423,cat,UK,95,6,12.363247224121698
S424,cat,UK,89,4,11.787274565062972
S425,cat,UK,97,11,9.3948244866185
S426,cat,UK,79,8,14.138080883743836
S427,cat,UK,76,5,6.489692784948366
S428,cat,UK,88,11,14.427313823927738
S429,cat,UK,89,7,13.447046214626294
S430,cat,UK,76,14,11.646318826100567
S431,cat,UK,86,8,12.682278936111498
S432,cat,UK,106,9,10.490556140230968
S433,cat,UK,91,8,8.127083590974594
S434,cat,UK,80,6,11.114962349513679
S435,cat,UK,73,9,11.084169652936659
S436,cat,UK,108,4,9.199216940296306
S437,cat,UK,91,11,13.747958725858673
S438,cat,UK,94,4,11.837310718519698
S439,cat,UK,92,5,7.407738720857286
S440,cat,UK,78,10,11.212787973238745
S441,cat,UK,84,4,7.517926003893477
S442,cat,UK,99,3,7.122174092567377
S443,cat,UK,95,8,8.657816357863632
S444,cat,UK,89,9,9.756261711388843
S445,cat,UK,95,9,9.286887081938609
S446,cat,UK,70,7,9.162848552055165
S447,cat,UK,103,3,8.896389502281759
S448,cat,UK,119,5,7.44359438439859
S449,cat,UK,97,6,9.915035039297186
S450,cat,UK,89,4,9.770137574042398
S451,cat,UK,86,10,10.345996516986904
S452,cat,UK,86,6,8.396241486563856
S453,cat,UK,74,3,8.907912725870856
S454,cat,UK,88,6,8.172570527685895
S455,cat,UK,88,5,8.433875591232447
S456,cat,UK,81,4,7.95888702991668
S457,cat,UK,92,5,7.437851227043734
S458,cat,UK,96,2,7.8176166585123115
S459,cat,UK,85,6,11.53350808530744
S460,cat,UK,89,8,11.666363994591713
S461,cat,UK,79,9,11.310408073406796
S462,cat,UK,89,4,8.464334334422986
S463,cat,UK,90,0,7.0184308682882
S464,cat,UK,82,10,12.138199250856605
S465,cat,UK,72,5,8.108685801766281
S466,cat,UK,97,6,6.3670382283169324
S467,cat,UK,81,4,8.871165621976596
S468,cat,UK,81,11,9.952863847713655
S469,cat,UK,100,6,8.860118347776899
S470,cat,UK,109,6,11.984152246108515
S471,cat,UK,98,3,7.299385524946515
S472,cat,UK,94,5,9.911490899735325
S473,cat,UK,100,7,11.218237754677752
S474,cat,UK,83,2,9.600145583283734
S475,cat,UK,88,13,10.706555923406144
S476,cat,UK,90,10,9.468453212382983
S477,cat,UK,92,5,6.05738108567017
S478,cat,UK,94,5,11.10215536051032
S479,cat,UK,66,9,11.59492269023355
S480,cat,UK,105,10,12.311082380951461
S481,cat,UK,107,8,11.189304481138551
S482,cat,UK,94,2,6.646404344948901
S483,cat,UK,73,7,11.091086605126284
S484,cat,UK,75,11,10.859581817768012
S485,cat,UK,85,1,6.959825413413484
S486,cat,UK,106,6,15.10853815634905
S487,cat,UK,85,9,10.301016392249927
S488,cat,UK,75,12,14.112172960240862
S489,cat,UK,98,8,12.90706582670973
S490,cat,UK,104,7,5.571049705717463
S491,cat,UK,83,8,13.58184279162308
S492,cat,UK,83,8,6.545217645785724
S493,cat,UK,79,8,6.438929105506624
S494,cat,UK,92,7,10.025811104113902
S495,cat,UK,88,9,9.228880925984182
S496,cat,UK,96,7,11.796748132266137
S497,cat,UK,75,5,10.382578014199929
S498,cat,UK,108,5,8.596094409646017
S499,cat,UK,92,9,11.109702766557852
S500,cat,UK,100,6,12.745837556017875
S501,cat,UK,76,12,11.693167849900227
S502,cat,UK,97,5,9.284034304640722
S503,cat,UK,78,12,11.589144378988086
S504,cat,UK,82,10,10.267736448719994
S505,cat,UK,97,7,11.835703039259913
S506,cat,UK,86,11,8.56685655925465
S507,cat,UK,85,8,9.977408308847979
S508,cat,UK,91,7,9.69075968386006
S509,cat,UK,86,9,8.959929198324026
S510,cat,UK,110,10,8.972192261910978
S511,cat,UK,80,4,5.6094785702238195
S512,cat,UK,93,4,9.324133720310767
S513,cat,UK,99,8,10.176258243540035
S514,cat,UK,96,3,7.286014862367141
S515,cat,UK,91,10,9.765080205270019
S516,cat,UK,91,6,9.251123919468007
S517,cat,UK,101,12,10.50624441416828
S518,cat,UK,95,10,13.240146350617398
S519,cat,UK,81,7,12.647270649041582
S520,cat,UK,95,7,9.591201722940626
S521,cat,UK,89,6,11.980498148457134
S522,cat,UK,88,10,8.898964973141739
S523,cat,UK,83,5,11.338762455158077
S524,cat,UK,97,6,8.367598803080256
S525,cat,UK,86,5,7.688395349002565
S526,cat,UK,88,7,11.00599752758926
S527,cat,UK,82,10,11.47369852279668
S528,cat,UK,87,2,10.487841148931421
S529,cat,UK,94,4,6.634828959460557
S530,cat,UK,110,7,7.207712179542514
S531,cat,UK,102,1,6.5149871262026675
S532,cat,UK,86,7,11.761649748034554
S533,cat,UK,76,14,12.950833937812202
S534,cat,UK,95,4,8.00033097817086
S535,cat,UK,88,1,4.883398065376484
S536,cat,UK,98,4,10.300634309214475
S537,cat,UK,92,2,9.038084007737039
S538,cat,UK,90,8,7.0844496805446315
S539,cat,UK,91,7,8.578158710374542
S540,cat,UK,99,4,10.968181171390954
S541,cat,UK,88,8,13.51419378833997
S542,cat,UK,98,7,9.274541521592546
S543,cat,UK,101,5,8.215023470604027
S544,cat,UK,86,5,7.221407058248447
S545,cat,UK,106,4,10.247383444578036
S546,cat,UK,115,5,11.731859073405733
S547,cat,UK,106,6,12.46313879257535
S548,cat,UK,90,12,8.724593881428332
S549,cat,UK,98,9,11.022520091222281
S550,cat,UK,85,10,11.984507468998837
S551,cat,NL,88,3,8.566740099384605
S552,cat,NL,95,11,11.359157490468327
S553,cat,NL,74,9,8.934747501024864
S554,cat,NL,96,7,8.156172497691047
S555,cat,NL,77,7,6.784183852976259
S556,cat,NL,85,12,11.159104700269236
S557,cat,NL,94,8,4.9900119848832585
S558,cat,NL,89,9,12.577142755695302
S559,cat,NL,84,2,9.543465482551401
S560,cat,NL,84,8,6.954565781138369
S561,cat,NL,88,6,6.489324449745553
S562,cat,NL,115,5,6.586345401252633
S563,cat,NL,89,10,10.9104217630245
S564,cat,NL,97,4,8.523772581236523
S565,cat,NL,71,2,10.532731072264685
S566,cat,NL,71,15,12.870115565066367
S567,cat,NL,85,9,11.753049342044033
S568,cat,NL,92,8,8.163806673684899
S569,cat,NL,79,6,7.102738188000301
S570,cat,NL,84,12,11.08894179962419
S571,cat,NL,97,7,8.14134074230632
S572,cat,NL,90,8,9.944969603950371
S573,cat,NL,90,6,9.018846190274772
S574,cat,NL,84,11,10.335366038934557
S575,cat,NL,103,7,9.529519216572842
S576,cat,NL,82,3,8.978559127712833
S577,cat,NL,89,12,11.07719045099943
S578,cat,NL,83,5,10.008819034724588
S579,cat,NL,80,12,11.890844918163808
S580,cat,NL,83,1,5.100760463175518
S581,cat,NL,106,6,6.8497538158146964
S582,cat,NL,107,8,10.150743530562645
S583,cat,NL,92,10,10.26109103468313
S584,cat,NL,93,9,9.370188940899888
S585,cat,NL,87,7,7.203075279878762
S586,cat,NL,92,8,8.594628177367175
S587,cat,NL,88,8,10.753316626912605
S588,cat,NL,95,9,9.71297923862713
S589,cat,NL,88,4,8.241831375650222
S590,cat,NL,100,9,7.922156046528939
S591,cat,NL,102,9,8.210502956094196
S592,cat,NL,80,8,8.189125838554803
S593,cat,NL,71,13,12.157228027958649
S594,cat,NL,76,9,11.348055548450102
S595,cat,NL,76,8,7.542005268993991
S596,cat,NL,85,7,7.361987120823306
S597,cat,NL,71,6,8.481957317415505
S598,cat,NL,91,5,4.788132883948051
S599,cat,NL,99,2,6.192409384930941
S600,cat,NL,82,2,8.7067754627485
S601,cat,NL,86,10,12.712546519335397
S602,cat,NL,77,9,12.687861074853979
S603,cat,NL,104,7,10.937122622946053
S604,cat,NL,102,6,4.82311350802585
S605,cat,NL,103,3,8.08006431571327
S606,cat,NL,98,4,5.720639659852728
S607,cat,NL,95,9,9.351008213629317
S608,cat,NL,63,11,11.82673791753465
S609,cat,NL,93,8,11.41085038652787
S610,cat,NL,78,7,5.543255719787273
S611,cat,NL,80,11,10.625025855821278
S612,cat,NL,104,4,5.690683561569315
S613,cat,NL,84,10,9.515938624585878
S614,cat,NL,106,2,4.467863185960803
S615,cat,NL,104,7,12.215700672972302
S616,cat,NL,85,13,6.614671309081006
S617,cat,NL,102,2,4.92921358547596
S618,cat,NL,96,3,5.357382081226853
S619,cat,NL,117,9,11.396514589529918
S620,cat,NL,84,12,7.225207866939328
S621,cat,NL,101,4,8.071654231092976
S622,cat,NL,83,6,8.556943699182348
S623,cat,NL,85,3,7.767744062960559
S624,cat,NL,80,10,10.264062950918088
S625,cat,NL,85,10,8.820292576442679
S626,cat,NL,97,7,5.690696820572525
S627,cat,NL,100,10,13.607830051988955
S628,cat,NL,77,10,7.94842547196019
S629,cat,NL,101,5,8.702642711022698
S630,cat,NL,90,8,9.386020216248312
S631,cat,NL,84,11,12.092083766785
S632,cat,NL,95,10,10.398495824760397
S633,cat,NL,90,9,12.208475466093038
S634,cat,NL,102,10,13.602306903775965
S635,cat,NL,105,8,9.254834488194895
S636,cat,NL,85,12,8.214420653813065
S637,cat,NL,94,7,5.06270294822763
S638,cat,NL,90,8,8.733431819115955
S639,cat,NL,83,5,6.671863410949881
S640,cat,NL,106,7,10.542256930805102
S641,cat,NL,93,5,10.804648181063751
S642,cat,NL,92,8,8.602330017671761
S643,cat,NL,93,11,8.339549320785201
S644,cat,NL,77,9,12.62939273054796
S645,cat,NL,103,7,9.105052450475883
S646,cat,NL,101,1,7.26604133162469
S647,cat,NL,73,8,7.319182195601293
S648,cat,NL,93,13,7.9263800500726855
S649,cat,NL,87,9,13.186307105654775
S650,cat,NL,81,7,8.570551854045776
S651,cat,NL,96,5,6.89126586004712
S652,cat,NL,89,5,8.047731309802161
S653,cat,NL,84,8,8.22526388180667
S654,cat,NL,89,2,6.5718666482617945
S655,cat,NL,90,6,4.623851649037535
S656,cat,NL,80,5,9.652778306165533
S657,cat,NL,107,7,5.697768458226466
S658,cat,NL,89,11,13.210931613789748
S659,cat,NL,84,2,9.201363544998436
S660,cat,NL,80,7,8.110006245824255
S661,cat,NL,83,6,7.002772426972072
S662,cat,NL,51,6,5.748071437642326
S663,cat,NL,86,6,4.308878867821045
S664,cat,NL,81,5,6.451263896048399
