id,user_id,date,sss1,sss2,sss3,sss4,sss5,sss6,sss7,sss8,sss9,sss10,sss11,sss12,sss13,sss14
48,224,2004-10-21,0,0,0,0,1,1,1,1,0,1,0,1,0,0
42,235,2004-10-20,1,1,1,0,1,1,1,1,1,1,1,1,1,0
57,238,2004-10-23,1,1,0,0,1,0,0,1,1,1,1,1,1,0
45,246,2004-10-20,1,1,1,0,1,1,1,1,1,0,0,0,1,0
44,247,2004-10-20,0,0,1,0,1,0,0,0,1,0,1,0,1,0
50,248,2004-10-21,0,0,0,1,1,1,0,1,1,1,1,1,1,0
46,252,2004-10-20,0,0,0,0,1,1,1,1,1,0,0,1,1,0
51,253,2004-10-21,0,0,0,0,0,1,0,1,0,0,0,0,0,0
225,256,2005-02-16,0,1,0,0,1,0,0,0,0,0,1,0,1,0
47,260,2004-10-20,0,0,0,0,1,0,0,0,0,0,0,1,1,1
1049,262,2005-09-09,1,1,0,1,0,1,1,1,1,1,0,1,1,1
49,269,2004-10-21,0,0,1,1,1,1,1,1,0,0,1,1,1,0
1404,271,2005-10-10,1,1,0,0,1,0,1,1,1,0,0,1,1,0
52,273,2004-10-21,1,1,1,1,1,1,1,1,1,1,1,0,1,1
53,274,2004-10-21,1,1,1,0,1,0,1,1,1,0,1,1,0,1
54,275,2004-10-21,1,1,0,0,1,0,1,1,0,0,1,1,1,0
64,278,2004-11-01,1,0,1,0,1,1,1,1,1,0,1,1,0,1
127,283,2004-12-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0
131,286,2004-12-07,0,0,1,0,1,1,0,1,1,0,0,1,1,1
60,298,2004-10-28,0,1,1,0,1,1,1,0,1,1,0,1,1,0
62,325,2004-10-29,1,1,0,0,1,1,1,1,1,0,0,1,1,0
288,332,2005-02-23,1,0,1,0,0,1,1,0,0,0,0,0,0,0
63,341,2004-10-29,0,1,0,0,1,1,1,1,1,1,1,0,1,0
61,344,2004-10-29,1,0,0,0,1,1,1,1,1,0,1,1,1,0
82,352,2004-11-12,1,1,0,0,0,0,0,0,0,1,1,0,0,1
66,355,2004-11-01,1,1,0,0,1,1,0,1,0,0,1,1,1,0
68,368,2004-11-08,1,1,0,0,1,1,1,1,1,0,0,1,1,1
69,369,2004-11-08,0,1,0,0,0,1,1,0,0,0,1,0,0,0
71,372,2004-11-08,1,0,0,0,1,1,1,0,1,0,0,1,1,1
72,373,2004-11-09,0,0,0,1,1,1,1,1,1,0,1,0,1,0
73,374,2004-11-09,1,1,0,0,1,1,0,1,0,0,1,1,1,0
77,377,2004-11-10,1,1,0,1,0,1,1,1,0,0,1,1,1,0
79,379,2004-11-12,0,0,0,0,0,0,1,0,1,1,1,0,1,1
78,383,2004-11-12,0,1,0,1,1,1,1,1,1,0,1,1,1,0
80,384,2004-11-12,0,0,0,0,1,1,1,1,1,0,0,0,1,0
83,390,2004-11-16,1,0,1,1,1,0,1,1,1,0,1,1,1,0
85,393,2004-11-19,0,0,0,1,1,1,0,1,0,0,0,0,0,0
86,394,2004-11-20,1,1,0,0,1,0,1,1,1,1,0,0,0,1
87,397,2004-11-21,0,0,0,0,1,0,0,1,1,0,1,0,0,0
88,398,2004-11-21,1,1,0,0,1,1,1,0,1,0,0,1,1,1
89,400,2004-11-22,0,1,0,0,1,0,0,1,0,1,0,0,1,0
90,402,2004-11-23,1,0,1,1,1,1,0,1,0,0,0,0,1,0
91,403,2004-11-23,1,0,0,0,0,1,0,0,0,1,1,1,0,1
92,404,2004-11-23,1,1,1,0,0,0,1,1,1,1,0,1,1,0
93,407,2004-11-24,1,1,0,1,1,1,1,1,0,0,1,0,1,1
97,422,2004-11-25,1,0,1,1,1,1,1,0,1,0,1,1,1,0
96,424,2004-11-25,1,0,0,0,0,1,1,1,1,0,1,0,0,1
100,426,2004-11-25,0,1,0,0,0,0,1,0,0,0,1,0,0,0
95,428,2004-11-25,0,1,0,0,1,0,1,0,0,0,1,0,1,1
98,429,2004-11-25,1,0,1,0,1,0,1,1,0,0,0,0,0,1
302,436,2005-02-26,0,1,0,0,1,0,0,0,1,0,0,1,1,0
290,437,2005-02-24,0,0,0,1,1,0,1,1,1,0,1,0,1,1
99,450,2004-11-25,0,0,0,0,0,0,0,0,0,0,0,1,0,1
101,459,2004-11-27,1,0,0,0,0,1,0,0,0,1,1,0,0,1
102,461,2004-11-27,0,1,1,0,1,1,1,1,0,0,0,0,1,1
103,464,2004-11-28,1,1,0,1,1,1,1,1,1,0,1,1,1,1
104,466,2004-11-28,0,1,0,0,0,0,0,0,0,0,1,0,0,0
105,467,2004-11-28,0,0,0,0,0,1,1,0,0,0,0,0,1,1
139,469,2004-12-16,1,0,1,0,1,1,0,0,0,0,1,0,1,0
106,478,2004-11-30,0,0,0,1,0,1,0,0,1,0,0,1,1,1
107,482,2004-11-30,1,1,0,0,1,1,1,1,0,0,1,0,1,0
108,487,2004-12-01,0,1,1,0,1,1,0,0,0,0,1,1,1,0
109,488,2004-12-01,0,1,0,0,1,1,1,1,0,0,1,1,1,0
110,495,2004-12-01,1,1,1,0,1,1,1,1,1,1,0,1,1,0
111,496,2004-12-01,0,1,0,0,0,0,0,1,0,0,1,1,1,0
19708,497,2007-11-02,0,1,0,0,1,1,1,1,1,0,1,0,0,0
208,504,2005-02-14,1,1,1,0,1,0,1,1,1,0,0,1,0,0
112,508,2004-12-01,0,1,0,0,0,0,0,0,0,1,0,0,1,0
113,512,2004-12-01,0,0,1,0,0,0,1,0,1,0,1,1,0,0
114,528,2004-12-01,1,0,0,1,1,1,1,0,0,0,0,1,0,1
134,536,2004-12-09,0,1,0,1,1,1,0,1,0,0,0,1,1,0
115,539,2004-12-02,0,0,0,0,1,0,0,1,1,0,0,0,1,1
116,543,2004-12-02,1,0,0,0,1,1,0,0,1,1,0,1,1,0
182,547,2005-01-19,1,1,0,0,1,0,1,1,0,0,1,1,1,0
122,554,2004-12-03,1,1,0,1,1,0,1,1,1,1,0,0,1,0
117,561,2004-12-02,1,1,0,0,1,1,0,1,1,0,1,0,1,0
118,564,2004-12-02,0,1,1,0,1,1,0,0,0,0,1,1,1,1
120,572,2004-12-03,1,0,0,0,0,1,0,0,1,1,1,0,1,0
119,574,2004-12-02,0,1,0,1,1,1,1,0,1,1,1,1,1,0
121,581,2004-12-03,1,1,0,1,1,1,1,1,0,1,1,1,1,0
123,584,2004-12-03,1,0,1,0,1,1,1,0,0,1,1,1,1,0
124,587,2004-12-03,0,0,0,0,0,0,0,1,0,0,1,0,1,1
125,592,2004-12-03,1,1,1,1,1,1,0,0,1,0,1,0,1,1
126,597,2004-12-04,0,1,1,0,1,1,1,1,0,0,1,1,1,0
128,609,2004-12-06,1,1,0,0,1,1,0,1,0,0,0,0,0,0
129,628,2004-12-06,1,1,1,0,0,1,1,0,0,0,1,1,0,0
130,635,2004-12-07,0,0,0,0,1,1,1,0,0,1,1,1,1,0
135,643,2004-12-11,1,0,0,0,0,1,1,0,0,0,0,1,1,0
132,648,2004-12-08,0,0,0,0,1,1,1,0,0,1,0,0,1,0
136,681,2004-12-12,0,1,0,0,1,1,1,1,1,1,1,0,1,0
173,685,2005-01-12,0,0,0,0,1,0,0,1,0,0,0,0,0,1
137,695,2004-12-13,0,1,0,0,0,0,0,1,1,1,1,0,1,0
20068,716,2007-11-22,1,1,1,0,1,0,1,1,1,0,0,0,1,1
140,717,2004-12-16,0,1,0,1,1,1,1,1,0,0,1,0,1,1
141,727,2004-12-17,0,1,1,0,1,1,1,0,1,0,0,1,1,0
142,730,2004-12-17,1,1,0,0,0,0,0,0,1,0,0,1,0,0
143,749,2004-12-20,1,1,0,1,1,1,1,1,0,0,0,0,1,0
145,751,2004-12-21,1,0,0,1,0,1,1,0,0,0,1,1,1,1
146,752,2004-12-21,1,0,1,0,1,1,1,1,1,0,0,1,0,0
147,757,2004-12-24,1,1,0,0,1,1,1,1,1,0,0,0,1,0
148,768,2005-01-01,0,0,0,0,0,1,1,1,0,0,0,0,1,0
149,770,2005-01-02,1,0,1,1,1,0,1,1,1,0,0,1,1,0
150,771,2005-01-03,0,1,0,0,1,1,0,1,0,0,1,1,1,0
151,772,2005-01-04,1,1,1,1,0,1,1,1,1,0,1,0,1,0
152,775,2005-01-05,1,1,1,1,1,1,1,1,1,0,0,0,1,0
153,777,2005-01-06,1,1,0,0,1,0,1,1,1,0,0,1,1,0
154,778,2005-01-06,1,1,1,0,1,1,0,1,0,1,1,1,1,0
191,785,2005-01-31,0,1,0,0,0,1,0,0,0,0,1,0,0,0
155,787,2005-01-08,0,0,0,0,0,1,0,1,0,0,1,0,0,0
156,789,2005-01-08,1,0,0,0,0,1,0,0,0,0,0,1,1,1
157,791,2005-01-08,0,0,0,0,0,0,1,0,0,0,1,1,1,0
158,793,2005-01-08,1,0,0,0,1,1,1,1,1,0,0,1,0,1
159,797,2005-01-08,0,0,0,0,1,1,1,0,0,1,0,0,1,1
160,804,2005-01-09,0,0,0,0,1,1,0,1,1,0,1,0,0,0
161,805,2005-01-09,0,0,0,0,0,0,0,1,0,0,1,0,0,1
162,806,2005-01-09,0,0,0,0,1,0,1,1,0,1,0,0,0,0
163,807,2005-01-09,1,0,0,0,0,0,0,1,0,0,0,1,0,0
164,815,2005-01-10,0,1,0,0,1,1,0,1,1,0,1,1,1,0
165,817,2005-01-10,0,0,1,0,0,0,0,0,0,0,0,0,1,0
166,818,2005-01-10,0,0,1,1,0,1,1,1,0,0,1,0,1,1
167,820,2005-01-10,0,1,1,0,1,0,1,0,0,0,0,0,0,1
168,827,2005-01-10,1,0,0,0,1,1,1,1,0,0,1,1,1,0
169,830,2005-01-10,1,1,0,1,0,0,0,1,0,1,0,1,1,0
170,833,2005-01-11,1,0,0,0,1,0,0,1,1,0,0,0,0,1
171,837,2005-01-12,1,0,1,0,1,1,0,1,0,0,0,0,0,0
172,838,2005-01-12,1,1,0,0,0,1,1,1,0,1,0,0,0,0
176,851,2005-01-15,0,0,1,0,1,0,0,1,0,0,0,0,1,1
177,860,2005-01-15,1,1,0,0,1,1,0,1,0,1,0,0,0,0
178,862,2005-01-16,0,0,0,0,1,1,1,0,0,0,1,0,1,1
179,868,2005-01-17,0,1,0,0,0,1,0,0,0,0,0,0,0,0
15941,871,2007-05-16,1,0,0,0,1,1,1,1,1,0,0,1,0,1
180,876,2005-01-19,0,0,0,0,1,1,0,0,0,0,0,1,0,0
181,878,2005-01-19,1,1,1,1,1,1,1,1,0,1,0,0,1,0
15320,881,2007-04-28,1,0,0,0,1,0,1,1,0,1,0,1,1,1
183,882,2005-01-20,0,0,1,0,1,1,1,0,0,0,0,1,0,0
184,896,2005-01-21,0,0,0,0,1,1,1,1,1,0,1,0,0,1
185,897,2005-01-21,1,1,1,0,1,0,1,0,1,0,0,1,1,1
186,899,2005-01-23,0,0,1,0,0,0,0,0,0,0,1,0,0,1
187,902,2005-01-23,1,0,0,1,1,0,1,1,1,0,1,0,1,1
188,910,2005-01-25,1,0,0,0,0,1,0,1,0,0,0,1,1,1
189,913,2005-01-25,0,0,0,1,0,0,0,1,0,1,1,0,1,1
190,926,2005-01-29,1,1,0,0,0,1,0,0,0,0,1,1,1,0
192,933,2005-01-31,0,0,0,0,0,1,1,1,0,0,0,1,1,0
193,937,2005-02-01,0,0,0,1,1,1,1,1,1,0,1,0,1,0
194,938,2005-02-01,0,0,0,0,1,1,1,1,1,0,1,1,1,0
195,942,2005-02-01,1,1,0,0,1,0,1,1,1,0,0,0,0,0
196,943,2005-02-01,1,1,0,0,1,1,1,1,1,0,1,0,1,1
197,946,2005-02-01,1,0,0,0,1,1,1,0,1,0,0,1,0,0
198,948,2005-02-01,0,1,0,0,1,0,1,0,0,1,0,1,0,0
199,952,2005-02-02,0,1,0,0,1,1,0,0,1,0,1,0,1,0
201,953,2005-02-02,0,0,0,0,0,1,0,1,0,0,0,0,0,0
203,955,2005-02-04,1,0,0,0,1,1,1,1,0,1,1,0,1,0
202,956,2005-02-04,0,1,1,0,1,1,1,1,0,0,0,1,1,1
305,962,2005-03-01,1,1,0,0,1,1,1,1,0,0,1,1,0,0
204,966,2005-02-07,0,0,0,0,0,0,0,0,1,0,0,0,1,0
205,970,2005-02-08,0,1,1,0,1,0,1,1,0,0,0,1,0,1
206,971,2005-02-08,0,1,1,0,0,1,0,0,1,1,1,1,1,1
207,989,2005-02-14,1,0,0,0,1,1,1,0,1,0,1,1,1,0
210,993,2005-02-15,1,1,0,0,1,1,0,1,1,0,1,0,1,0
209,995,2005-02-15,1,1,0,0,1,0,0,1,1,1,1,0,1,0
212,996,2005-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1
213,1003,2005-02-16,1,0,1,1,1,1,0,0,0,0,1,1,0,1
214,1007,2005-02-16,1,0,0,0,1,1,1,0,0,1,0,0,1,0
215,1008,2005-02-16,1,1,0,0,1,0,1,1,0,1,1,0,1,0
216,1011,2005-02-16,1,1,0,0,1,0,0,1,1,0,0,0,1,1
217,1013,2005-02-16,0,1,0,0,0,1,1,0,1,0,0,0,1,1
218,1014,2005-02-16,1,1,1,0,0,0,0,0,0,0,1,1,1,0
219,1016,2005-02-16,0,1,0,0,0,1,0,1,0,1,1,1,0,1
221,1017,2005-02-16,0,1,1,0,1,1,1,0,0,0,1,0,1,0
230,1018,2005-02-16,0,0,0,0,1,1,0,1,1,1,1,0,1,0
220,1019,2005-02-16,1,1,1,1,1,1,1,1,1,0,1,0,0,1
250,1022,2005-02-17,0,1,0,0,1,0,0,1,1,0,0,0,1,0
356,1023,2005-03-18,1,1,1,0,0,1,0,0,1,0,0,0,0,1
222,1025,2005-02-16,0,1,0,0,0,0,0,0,1,1,0,1,1,1
383,1026,2005-03-23,1,0,1,0,1,1,1,1,0,0,0,1,0,0
223,1031,2005-02-16,1,0,0,0,1,1,0,0,0,0,0,0,1,1
247,1032,2005-02-17,0,1,0,0,1,1,1,1,1,1,1,0,0,0
278,1036,2005-02-22,1,0,1,0,1,1,0,0,0,0,1,1,1,0
224,1037,2005-02-16,0,0,0,0,0,0,0,0,0,0,1,0,0,0
226,1040,2005-02-16,0,1,0,0,1,1,1,1,1,0,0,1,1,1
229,1041,2005-02-16,1,1,0,1,1,0,1,0,1,1,1,1,1,1
227,1042,2005-02-16,1,0,0,1,1,1,0,1,1,0,1,0,1,0
228,1045,2005-02-16,1,0,1,0,1,1,0,1,0,0,1,0,1,0
231,1049,2005-02-16,1,1,1,0,1,0,1,1,0,1,1,0,0,0
239,1060,2005-02-16,1,0,0,0,1,1,1,1,1,0,1,0,1,0
232,1063,2005-02-16,1,1,0,1,1,1,1,1,1,1,1,1,1,0
236,1065,2005-02-16,0,1,0,0,1,1,1,1,0,1,1,1,1,0
233,1069,2005-02-16,0,1,1,0,0,0,0,0,0,0,0,0,0,1
234,1073,2005-02-16,1,0,1,0,1,0,1,1,0,0,1,0,1,1
235,1080,2005-02-16,0,1,0,0,0,0,1,0,0,0,0,1,0,0
237,1083,2005-02-16,0,1,0,0,0,0,0,0,0,0,0,0,0,1
238,1086,2005-02-16,0,1,0,1,0,1,0,0,0,0,1,1,1,0
240,1089,2005-02-16,1,0,1,0,1,0,1,1,0,0,1,1,1,1
242,1090,2005-02-16,0,1,1,0,1,1,0,0,1,0,0,1,1,1
241,1091,2005-02-16,0,1,0,0,0,1,0,0,0,0,0,0,0,0
243,1098,2005-02-17,1,0,1,0,1,1,1,1,1,0,1,1,0,0
244,1099,2005-02-17,0,0,0,0,1,1,0,1,1,1,1,0,1,0
245,1101,2005-02-17,1,0,0,0,1,0,1,1,1,1,0,1,1,0
246,1104,2005-02-17,0,1,0,0,1,0,0,1,0,0,1,0,0,0
248,1111,2005-02-17,1,0,1,0,1,0,0,1,1,0,1,0,1,0
249,1126,2005-02-17,1,1,0,0,1,1,1,1,1,0,1,1,1,1
953,1128,2005-08-27,0,1,0,0,0,0,0,1,0,0,0,1,1,1
251,1148,2005-02-17,1,1,1,0,0,0,0,1,0,1,1,1,1,0
252,1152,2005-02-17,1,1,1,0,1,0,1,1,0,1,0,0,1,0
254,1156,2005-02-17,1,0,1,1,1,1,1,0,0,0,0,1,1,1
253,1158,2005-02-17,0,1,0,0,0,0,1,0,0,1,1,1,0,0
255,1160,2005-02-17,1,1,1,0,0,0,0,0,0,0,1,1,1,0
266,1162,2005-02-18,0,0,0,0,1,1,0,1,0,0,1,1,1,1
8441,1169,2007-01-21,0,1,0,0,0,1,0,1,1,0,1,1,0,0
257,1170,2005-02-17,1,1,0,0,1,0,1,1,1,0,0,1,1,1
256,1171,2005-02-17,0,1,0,0,1,1,0,1,0,1,0,0,1,0
259,1178,2005-02-17,1,1,0,0,1,1,0,1,0,0,1,1,0,0
260,1179,2005-02-17,1,1,0,1,1,0,1,1,1,1,1,1,0,0
261,1182,2005-02-17,1,0,1,1,1,0,0,0,0,0,1,0,1,0
262,1184,2005-02-18,1,0,0,0,1,1,0,0,0,1,0,0,1,0
263,1186,2005-02-18,1,0,0,0,1,0,1,1,1,0,1,0,1,1
264,1187,2005-02-18,0,0,1,0,0,0,1,0,0,0,1,0,1,1
267,1192,2005-02-18,0,0,0,0,1,1,1,1,1,0,0,0,1,1
280,1193,2005-02-22,1,1,0,1,1,1,1,1,0,0,0,0,1,0
306,1197,2005-03-01,0,1,0,0,0,1,1,0,0,1,1,1,1,0
269,1199,2005-02-18,1,1,0,0,1,1,1,0,0,0,1,1,0,0
271,1207,2005-02-21,0,0,0,0,0,1,0,1,0,0,0,1,1,1
273,1213,2005-02-21,1,1,1,1,1,0,0,1,1,1,1,1,1,1
274,1214,2005-02-22,1,0,0,0,1,1,0,0,1,0,1,1,0,0
275,1215,2005-02-22,1,1,0,0,1,0,0,1,1,1,1,0,1,0
277,1221,2005-02-22,0,1,0,0,1,0,1,0,1,0,0,1,0,0
279,1225,2005-02-22,0,1,0,0,1,1,1,1,0,0,0,0,1,1
4318,1228,2006-08-31,0,0,0,0,1,1,1,1,0,0,0,0,0,0
281,1233,2005-02-22,0,0,1,0,1,1,1,1,0,0,0,0,0,1
286,1258,2005-02-22,0,0,0,0,0,0,1,0,0,0,0,1,1,0
284,1259,2005-02-22,0,0,0,0,1,1,1,1,1,0,0,1,1,0
316,1283,2005-03-03,1,0,1,0,1,1,1,0,0,0,1,1,1,0
1391,1285,2005-10-10,1,0,1,1,1,0,1,1,1,0,1,1,1,0
293,1287,2005-02-24,0,1,0,0,1,1,0,1,1,1,1,0,1,0
1403,1292,2005-10-10,1,1,0,0,1,0,1,1,1,0,1,0,1,0
6082,1297,2006-11-22,0,0,0,0,0,0,1,0,0,0,0,0,0,0
292,1303,2005-02-24,1,1,1,0,1,1,1,1,1,1,0,1,1,0
295,1322,2005-02-24,1,1,0,0,1,1,1,1,0,1,0,0,0,0
318,1330,2005-03-04,0,1,1,0,1,1,1,1,1,0,1,1,0,1
300,1331,2005-02-25,0,0,0,0,1,1,1,1,0,0,0,1,1,1
299,1332,2005-02-25,0,0,0,0,1,1,0,0,0,1,0,1,1,0
303,1336,2005-02-27,0,0,1,1,0,0,0,0,1,0,1,1,1,0
309,1353,2005-03-01,1,1,1,0,1,1,0,1,1,1,1,1,1,1
313,1362,2005-03-02,1,1,0,0,0,1,0,0,0,0,0,0,0,0
314,1365,2005-03-03,0,1,0,0,0,1,1,0,1,0,0,0,0,0
315,1367,2005-03-03,1,1,0,1,1,1,1,1,1,0,1,0,1,1
322,1378,2005-03-05,0,1,0,0,0,1,1,0,0,1,0,1,1,1
325,1386,2005-03-07,0,1,0,0,0,1,1,0,1,0,0,1,1,0
329,1411,2005-03-09,1,0,0,0,0,1,0,0,0,0,0,0,1,1
333,1436,2005-03-09,1,1,1,0,1,0,1,0,0,0,0,0,0,0
337,1479,2005-03-11,0,0,0,0,1,0,0,1,1,0,1,1,1,1
341,1482,2005-03-11,0,1,0,0,1,0,0,0,0,0,1,0,1,0
343,1490,2005-03-12,1,0,0,0,1,1,1,1,1,0,1,0,1,0
345,1494,2005-03-13,1,0,0,1,1,1,1,1,0,1,0,0,1,1
346,1531,2005-03-15,1,1,0,0,1,0,1,1,1,1,0,1,1,0
349,1557,2005-03-16,1,0,0,0,1,1,1,1,0,1,0,1,1,1
425,1567,2005-04-05,1,1,0,1,1,1,1,1,1,1,0,1,1,0
355,1584,2005-03-18,0,0,0,0,0,0,1,0,0,0,1,1,0,0
360,1598,2005-03-19,1,1,1,1,1,0,1,0,0,0,1,1,1,0
363,1611,2005-03-20,1,0,0,1,0,1,0,0,0,0,1,0,1,1
365,1634,2005-03-21,0,0,1,0,1,1,0,1,0,0,0,0,1,0
366,1637,2005-03-21,1,0,0,0,0,1,0,1,1,0,1,0,1,1
368,1646,2005-03-21,0,1,0,0,0,1,0,1,0,0,1,1,0,1
949,1651,2005-08-25,1,1,1,0,0,0,1,1,0,0,0,1,1,0
369,1661,2005-03-22,1,1,1,0,1,1,0,1,1,0,1,0,1,1
370,1663,2005-03-23,0,0,0,0,1,0,1,1,1,0,0,0,1,0
371,1679,2005-03-23,0,1,0,0,0,0,0,0,0,0,0,0,1,0
372,1683,2005-03-23,0,1,0,0,0,0,0,0,1,0,0,0,1,1
373,1690,2005-03-23,0,1,0,0,0,0,0,1,0,0,1,0,1,0
378,1696,2005-03-23,1,0,1,0,1,0,1,0,0,0,0,0,0,1
395,1697,2005-03-24,1,1,0,1,0,1,1,1,1,0,1,1,0,0
402,1698,2005-03-25,1,0,1,0,1,1,1,1,1,0,1,1,1,0
374,1702,2005-03-23,1,1,0,0,1,0,1,1,1,0,1,1,1,1
376,1704,2005-03-23,0,1,1,0,1,0,0,1,1,0,0,1,1,0
379,1708,2005-03-23,1,1,0,0,1,1,0,1,1,0,1,1,1,0
381,1711,2005-03-23,0,1,1,0,0,0,0,1,1,0,1,1,0,1
382,1719,2005-03-23,0,1,1,0,1,1,1,1,1,0,1,1,1,0
387,1727,2005-03-23,1,0,0,0,1,1,1,1,1,1,0,1,1,0
384,1731,2005-03-23,1,1,1,0,0,1,1,1,1,0,0,0,1,0
388,1743,2005-03-23,0,0,0,0,1,0,0,0,1,1,0,0,1,0
389,1745,2005-03-23,0,1,0,0,1,0,0,0,0,1,0,0,1,1
391,1752,2005-03-24,1,0,0,,,1,,,,,,,,
394,1758,2005-03-24,0,1,0,0,0,1,0,0,0,0,0,1,1,1
393,1759,2005-03-24,0,1,1,0,0,1,0,0,0,0,1,0,1,0
396,1769,2005-03-24,1,0,0,0,0,0,1,0,0,0,1,0,1,0
397,1770,2005-03-24,0,1,0,0,0,1,0,0,1,1,0,1,1,1
398,1778,2005-03-25,1,1,0,,1,0,1,1,1,0,1,1,,0
404,1802,2005-03-26,0,1,0,0,0,1,0,0,1,1,1,0,0,0
405,1809,2005-03-26,0,0,1,0,1,0,1,0,0,1,0,1,1,1
406,1815,2005-03-26,1,1,0,0,0,1,1,1,0,0,0,0,1,0
408,1822,2005-03-27,0,0,0,0,0,0,0,0,0,0,0,1,0,0
409,1830,2005-03-27,1,0,0,0,0,0,1,1,1,0,1,1,0,1
411,1844,2005-03-28,0,1,0,0,1,0,0,0,0,0,0,1,1,0
414,1858,2005-03-29,1,1,1,0,1,1,1,1,1,0,1,1,1,1
415,1859,2005-03-29,1,1,1,0,1,1,0,0,1,1,0,0,0,0
417,1871,2005-03-30,0,0,0,0,1,1,0,0,0,0,1,0,0,0
418,1873,2005-03-31,1,1,0,0,0,0,0,0,0,0,0,0,0,0
421,1890,2005-04-01,1,1,1,1,1,0,1,1,0,1,0,0,1,1
423,1895,2005-04-02,1,1,0,0,0,0,1,0,0,1,1,0,0,0
424,1897,2005-04-02,1,0,0,0,1,1,0,1,1,1,1,1,1,0
428,1936,2005-04-08,1,0,0,0,1,0,1,1,1,0,1,0,1,0
