user_id,sex,age,id,starttime,endtime,Q01,Q02,Q03R,Q04R,Q05R,Q06,Q07R,Q08,Q09,Q10,Q11R,Q12,Q13,Q14,Q15,Q16,Q17R,Q18,Q19,Q20,Q21,Q22
128890,female,18.1,22,2008-02-06T14:10:27Z,2008-02-06T14:12:16Z,slightly agree,strongly agree,slightly disagree,slightly disagree,strongly disagree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,strongly agree,strongly agree,slightly disagree,strongly disagree,strongly agree,slightly agree,strongly agree,slightly agree,strongly agree
129139,female,18.7,23,2008-02-07T10:40:51Z,2008-02-07T10:42:34Z,slightly agree,strongly agree,slightly disagree,strongly disagree,slightly disagree,slightly agree,NA,slightly agree,slightly agree,slightly disagree,slightly disagree,strongly agree,slightly agree,slightly agree,slightly agree,slightly agree,strongly disagree,slightly agree,slightly agree,slightly agree,slightly agree,strongly agree
107248,female,19.8,24,2008-02-07T12:20:47Z,2008-02-07T12:22:37Z,strongly agree,strongly agree,slightly disagree,slightly agree,slightly disagree,strongly agree,slightly disagree,strongly agree,strongly agree,strongly agree,slightly agree,slightly disagree,slightly agree,slightly agree,strongly agree,slightly agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree
129165,female,21.8,25,2008-02-07T13:32:24Z,2008-02-07T13:34:36Z,strongly agree,slightly agree,slightly disagree,slightly disagree,strongly disagree,slightly agree,strongly agree,slightly disagree,slightly agree,slightly agree,strongly agree,slightly disagree,strongly agree,strongly agree,strongly agree,slightly agree,strongly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly disagree
130023,female,18.6,26,2008-02-11T11:12:24Z,2008-02-11T11:14:22Z,strongly agree,strongly agree,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,slightly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree
130040,female,18.2,27,2008-02-11T12:58:20Z,2008-02-11T13:00:37Z,slightly agree,strongly agree,strongly disagree,slightly disagree,slightly agree,slightly agree,strongly disagree,slightly agree,slightly agree,strongly agree,strongly disagree,strongly agree,strongly agree,slightly agree,strongly agree,slightly agree,strongly disagree,strongly agree,slightly agree,slightly agree,strongly agree,slightly agree
130042,female,20.4,28,2008-02-11T13:06:18Z,2008-02-11T13:08:06Z,slightly agree,strongly agree,slightly disagree,slightly disagree,strongly disagree,strongly agree,slightly agree,strongly agree,slightly agree,strongly agree,slightly agree,strongly agree,strongly agree,slightly agree,strongly agree,strongly agree,slightly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree
130041,female,19.4,29,2008-02-11T13:27:00Z,2008-02-11T13:28:52Z,slightly agree,strongly agree,slightly disagree,slightly disagree,strongly disagree,slightly agree,strongly disagree,strongly agree,slightly agree,strongly agree,slightly disagree,slightly agree,strongly agree,slightly agree,strongly agree,slightly agree,strongly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree
130319,female,18.9,30,2008-02-12T10:23:11Z,2008-02-12T10:24:40Z,slightly agree,slightly agree,slightly disagree,slightly disagree,slightly disagree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree
106385,female,18.1,31,2008-02-12T11:01:16Z,2008-02-12T11:03:41Z,slightly agree,slightly agree,slightly disagree,slightly disagree,slightly disagree,slightly agree,slightly disagree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree,strongly agree,slightly agree,slightly agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,slightly agree,slightly disagree
130342,female,19.2,32,2008-02-12T12:55:24Z,2008-02-12T12:58:06Z,slightly agree,slightly disagree,strongly disagree,slightly disagree,slightly agree,slightly disagree,slightly disagree,slightly disagree,strongly disagree,slightly agree,slightly agree,strongly agree,slightly disagree,slightly agree,slightly disagree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly disagree,slightly agree,strongly disagree
130345,female,31.9,33,2008-02-12T13:40:45Z,2008-02-12T13:45:08Z,strongly agree,slightly agree,strongly disagree,strongly disagree,strongly disagree,slightly agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,slightly agree,strongly agree,strongly agree,strongly agree,slightly disagree
130579,female,18.9,34,2008-02-13T12:46:51Z,2008-02-13T12:49:15Z,strongly agree,slightly agree,slightly agree,slightly disagree,slightly disagree,slightly agree,slightly disagree,slightly agree,strongly agree,slightly agree,slightly disagree,slightly disagree,slightly agree,slightly agree,slightly agree,strongly agree,slightly disagree,slightly agree,slightly disagree,strongly agree,strongly agree,slightly agree
130582,male,22.3,35,2008-02-13T12:54:34Z,2008-02-13T12:57:27Z,slightly agree,slightly agree,slightly agree,slightly disagree,strongly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly disagree
130589,female,NA,36,2008-02-13T13:26:43Z,2008-02-13T13:28:27Z,slightly agree,slightly agree,slightly disagree,slightly disagree,slightly disagree,slightly agree,slightly disagree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,strongly agree,slightly agree,slightly agree
130773,female,19.9,37,2008-02-14T11:07:41Z,2008-02-14T11:09:57Z,strongly agree,slightly agree,slightly disagree,slightly disagree,slightly disagree,slightly agree,NA,strongly agree,slightly agree,strongly agree,slightly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,slightly agree,slightly agree,slightly agree,slightly agree,strongly agree
130779,female,18.7,38,2008-02-14T12:41:19Z,2008-02-14T12:43:13Z,slightly agree,strongly agree,slightly disagree,slightly disagree,slightly disagree,slightly agree,slightly disagree,strongly agree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree
131614,female,18.3,39,2008-02-18T12:10:18Z,2008-02-18T12:11:54Z,slightly agree,slightly agree,strongly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree,strongly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly disagree,slightly disagree,slightly agree
131626,female,19.3,40,2008-02-18T13:04:33Z,2008-02-18T13:07:37Z,strongly agree,strongly agree,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,slightly disagree,slightly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree
131624,female,18.7,41,2008-02-18T13:12:18Z,2008-02-18T13:14:00Z,slightly agree,slightly disagree,strongly disagree,slightly agree,slightly agree,strongly agree,strongly agree,slightly disagree,strongly disagree,slightly agree,slightly agree,slightly agree,slightly disagree,strongly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,strongly agree,slightly disagree,slightly agree
131623,female,18.3,42,2008-02-18T13:23:19Z,2008-02-18T13:25:01Z,strongly agree,slightly agree,slightly agree,slightly disagree,slightly agree,strongly agree,slightly agree,slightly agree,slightly agree,strongly agree,slightly agree,slightly agree,strongly agree,slightly agree,strongly agree,strongly agree,strongly disagree,slightly agree,slightly agree,slightly agree,slightly agree,strongly agree
131647,male,18.9,43,2008-02-18T15:17:46Z,2008-02-18T15:18:33Z,strongly agree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree
131670,female,19,44,2008-02-18T15:16:16Z,2008-02-18T15:18:43Z,slightly agree,strongly agree,strongly disagree,strongly disagree,slightly agree,slightly agree,slightly agree,slightly agree,strongly agree,strongly agree,slightly disagree,strongly agree,slightly agree,strongly agree,slightly agree,strongly agree,strongly disagree,slightly agree,slightly agree,slightly agree,slightly agree,strongly agree
131653,female,18.9,45,2008-02-18T15:17:28Z,2008-02-18T15:18:46Z,strongly agree,strongly agree,slightly agree,strongly agree,slightly agree,slightly disagree,slightly agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly agree,slightly disagree,slightly disagree,slightly agree,slightly disagree,slightly agree
131661,male,18.1,46,2008-02-18T15:20:01Z,2008-02-18T15:21:40Z,slightly agree,slightly agree,slightly disagree,slightly disagree,slightly disagree,slightly agree,slightly agree,slightly agree,strongly agree,strongly agree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly disagree,slightly agree,slightly disagree,slightly disagree,slightly agree,strongly agree,slightly agree,slightly disagree
131663,female,18.9,47,2008-02-18T15:20:20Z,2008-02-18T15:22:03Z,slightly agree,slightly agree,slightly agree,slightly disagree,slightly disagree,slightly agree,slightly disagree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly disagree,strongly agree
106378,female,18.8,48,2008-02-18T15:20:10Z,2008-02-18T15:22:07Z,slightly agree,slightly disagree,slightly agree,strongly disagree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly agree,slightly agree
131667,male,18.3,49,2008-02-18T15:21:15Z,2008-02-18T15:23:03Z,slightly agree,slightly agree,strongly disagree,slightly agree,strongly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,strongly agree,strongly agree,slightly agree,slightly agree,slightly agree,strongly disagree,slightly agree,slightly disagree,slightly agree,slightly agree,strongly disagree
131671,female,18.4,50,2008-02-18T15:23:17Z,2008-02-18T15:25:22Z,strongly agree,strongly agree,slightly disagree,slightly disagree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,strongly agree,strongly agree,strongly agree,slightly agree,slightly agree,strongly agree,strongly agree,strongly agree,slightly agree,strongly agree
131673,female,20.4,51,2008-02-18T15:24:54Z,2008-02-18T15:27:04Z,slightly agree,strongly agree,strongly agree,slightly agree,strongly agree,slightly disagree,slightly agree,slightly disagree,slightly disagree,slightly disagree,strongly disagree,slightly disagree,slightly disagree,slightly agree,slightly disagree,slightly agree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,strongly agree
131654,male,23.8,52,2008-02-18T15:26:16Z,2008-02-18T15:28:18Z,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,strongly agree,slightly disagree,slightly agree,slightly disagree,slightly agree,strongly disagree,slightly disagree,slightly agree,slightly disagree,slightly agree,strongly disagree
131664,female,19,53,2008-02-18T15:26:59Z,2008-02-18T15:28:21Z,strongly agree,slightly agree,strongly agree,slightly agree,slightly disagree,strongly agree,slightly disagree,strongly agree,strongly agree,strongly agree,slightly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,slightly disagree,strongly agree,slightly agree,strongly agree,slightly agree,strongly agree
128443,female,18.1,54,2008-02-18T15:27:10Z,2008-02-18T15:28:53Z,slightly agree,slightly agree,slightly agree,slightly disagree,slightly disagree,slightly agree,slightly disagree,strongly agree,slightly disagree,slightly agree,slightly disagree,slightly disagree,slightly disagree,slightly agree,slightly disagree,slightly agree,slightly disagree,slightly disagree,strongly disagree,slightly agree,slightly disagree,slightly disagree
108994,female,NA,55,2008-02-18T15:27:34Z,2008-02-18T15:28:59Z,slightly agree,slightly agree,slightly disagree,strongly disagree,strongly agree,slightly disagree,strongly agree,slightly disagree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,strongly agree
131656,female,25.3,56,2008-02-18T15:27:20Z,2008-02-18T15:30:54Z,strongly agree,strongly agree,slightly agree,strongly disagree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly disagree,slightly disagree,slightly agree,strongly agree,slightly agree,strongly disagree,slightly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree
131658,male,19,57,2008-02-18T15:29:37Z,2008-02-18T15:31:27Z,strongly agree,strongly agree,slightly disagree,strongly disagree,slightly disagree,strongly agree,slightly disagree,slightly agree,slightly disagree,strongly agree,slightly agree,slightly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,slightly agree,slightly agree,slightly agree,slightly agree,strongly agree
131662,male,18.4,58,2008-02-18T15:29:41Z,2008-02-18T15:32:05Z,slightly agree,slightly agree,strongly disagree,strongly disagree,slightly disagree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly disagree,strongly agree,slightly agree,slightly agree,slightly disagree,slightly agree,strongly disagree,slightly disagree,slightly agree,strongly agree,slightly disagree,slightly disagree
131655,female,18,59,2008-02-18T15:30:32Z,2008-02-18T15:32:30Z,slightly agree,strongly agree,strongly agree,strongly disagree,slightly disagree,strongly agree,strongly disagree,strongly agree,slightly agree,slightly agree,strongly disagree,slightly disagree,slightly agree,strongly agree,slightly agree,slightly agree,strongly disagree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree
131650,female,19.4,60,2008-02-18T15:35:15Z,2008-02-18T15:36:23Z,strongly agree,strongly agree,strongly disagree,strongly disagree,NA,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree
131645,female,18.2,61,2008-02-18T15:37:42Z,2008-02-18T15:39:01Z,strongly agree,strongly agree,slightly disagree,slightly disagree,slightly disagree,strongly disagree,slightly agree,slightly agree,strongly agree,strongly agree,slightly disagree,slightly agree,slightly agree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,slightly agree,slightly agree
131648,male,18.9,62,2008-02-18T15:38:23Z,2008-02-18T15:40:10Z,slightly agree,slightly agree,strongly disagree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,strongly agree,slightly agree,slightly agree,slightly agree,slightly agree,strongly disagree,slightly agree,slightly agree,slightly agree,strongly agree,slightly disagree
131665,male,18.6,63,2008-02-18T15:37:24Z,2008-02-18T15:40:10Z,strongly agree,slightly agree,slightly disagree,strongly disagree,slightly disagree,slightly agree,slightly disagree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly agree,slightly disagree,slightly disagree
131669,male,21.4,64,2008-02-18T15:41:53Z,2008-02-18T15:44:19Z,slightly agree,strongly agree,slightly disagree,slightly disagree,slightly disagree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly disagree
131652,male,19,65,2008-02-18T15:42:40Z,2008-02-18T15:44:25Z,slightly agree,slightly agree,slightly agree,slightly disagree,slightly disagree,slightly agree,slightly disagree,strongly agree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,strongly agree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly disagree
131666,male,21.3,66,2008-02-18T15:44:29Z,2008-02-18T15:46:11Z,slightly agree,slightly disagree,strongly disagree,slightly disagree,slightly disagree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,strongly agree,strongly agree,slightly agree,strongly agree,slightly disagree,strongly agree,slightly disagree,slightly disagree,slightly agree,slightly agree,slightly disagree,slightly disagree
131651,male,19.9,67,2008-02-18T15:45:09Z,2008-02-18T15:46:27Z,strongly agree,strongly agree,slightly agree,slightly disagree,slightly disagree,strongly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly disagree,strongly agree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,strongly agree,strongly agree,strongly agree
131649,male,19.4,68,2008-02-18T15:47:25Z,2008-02-18T15:49:14Z,slightly agree,slightly disagree,slightly disagree,strongly disagree,slightly disagree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,strongly disagree
131657,female,19.8,69,2008-02-18T15:51:48Z,2008-02-18T15:53:48Z,slightly agree,strongly agree,strongly disagree,slightly agree,slightly agree,strongly agree,strongly disagree,strongly agree,strongly agree,slightly agree,slightly disagree,strongly agree,slightly agree,strongly agree,slightly agree,strongly agree,slightly disagree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree
108708,male,18.3,70,2008-02-18T15:52:33Z,2008-02-18T15:54:43Z,slightly agree,strongly agree,slightly disagree,strongly disagree,strongly agree,slightly agree,slightly disagree,slightly disagree,slightly agree,slightly agree,slightly disagree,slightly agree,strongly disagree,slightly agree,slightly disagree,slightly agree,strongly disagree,slightly disagree,slightly agree,slightly disagree,slightly disagree,slightly agree
131644,female,18.4,71,2008-02-18T15:52:44Z,2008-02-18T15:55:01Z,strongly agree,strongly agree,slightly disagree,slightly disagree,slightly disagree,slightly agree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,slightly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,slightly agree,strongly agree,strongly agree,strongly agree
131672,male,NA,72,2008-02-18T15:53:25Z,2008-02-18T15:56:10Z,strongly agree,strongly agree,strongly disagree,slightly disagree,slightly agree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,slightly agree,slightly agree,NA,slightly agree,slightly agree,strongly agree,strongly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree
131668,female,49.6,73,2008-02-18T15:57:06Z,2008-02-18T15:58:33Z,slightly agree,slightly agree,strongly disagree,slightly disagree,strongly disagree,slightly agree,strongly disagree,strongly agree,slightly agree,slightly agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,slightly agree,strongly disagree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree
131659,male,19.3,74,2008-02-18T15:57:01Z,2008-02-18T15:59:19Z,strongly agree,slightly disagree,slightly disagree,slightly disagree,slightly agree,strongly agree,slightly agree,slightly agree,strongly agree,strongly agree,slightly agree,slightly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree
131798,female,20.4,75,2008-02-19T10:18:48Z,2008-02-19T10:21:42Z,slightly agree,slightly disagree,slightly agree,slightly disagree,strongly disagree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,strongly disagree,slightly disagree,slightly disagree,slightly agree,slightly disagree,slightly disagree
131810,female,18.2,76,2008-02-19T12:07:26Z,2008-02-19T12:08:48Z,slightly agree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,strongly disagree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly disagree
131811,female,18.5,77,2008-02-19T12:11:08Z,2008-02-19T12:13:31Z,slightly agree,slightly agree,slightly disagree,strongly disagree,strongly disagree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly disagree,strongly agree,slightly agree,slightly agree,slightly agree,slightly agree,strongly disagree,slightly disagree,slightly agree,slightly agree,slightly disagree,slightly agree
131818,female,21.8,78,2008-02-19T13:10:06Z,2008-02-19T13:12:03Z,slightly agree,slightly agree,slightly disagree,slightly disagree,slightly disagree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,strongly agree,slightly agree,strongly disagree,slightly agree,slightly agree,slightly agree,slightly agree,slightly disagree
131819,female,18.6,79,2008-02-19T13:17:27Z,2008-02-19T13:19:25Z,strongly agree,strongly agree,slightly agree,slightly disagree,slightly disagree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly agree,strongly agree,slightly agree,strongly agree,slightly agree,strongly disagree,slightly agree,slightly agree,slightly agree,slightly disagree,slightly disagree
131835,female,22,80,2008-02-19T15:09:50Z,2008-02-19T15:11:43Z,slightly agree,strongly agree,slightly agree,strongly disagree,slightly disagree,slightly disagree,slightly agree,strongly agree,slightly agree,strongly agree,slightly agree,slightly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,slightly agree,slightly agree,strongly agree,slightly agree,strongly agree
131968,female,19.5,81,2008-02-20T10:08:46Z,2008-02-20T10:11:29Z,strongly agree,slightly disagree,slightly disagree,strongly disagree,slightly disagree,slightly agree,slightly agree,strongly agree,slightly agree,strongly agree,slightly disagree,slightly disagree,slightly disagree,slightly agree,slightly disagree,strongly agree,strongly disagree,slightly agree,slightly agree,slightly disagree,strongly disagree,slightly agree
131976,female,18.8,83,2008-02-20T11:32:38Z,2008-02-20T11:34:18Z,strongly agree,strongly agree,strongly disagree,strongly disagree,slightly disagree,slightly agree,slightly disagree,slightly agree,slightly agree,strongly agree,slightly agree,strongly agree,strongly agree,slightly agree,strongly agree,slightly agree,strongly disagree,slightly agree,slightly agree,slightly agree,slightly disagree,strongly agree
131991,male,18.9,84,2008-02-20T12:43:26Z,2008-02-20T12:45:12Z,strongly agree,strongly disagree,strongly disagree,slightly disagree,slightly agree,strongly agree,strongly agree,slightly disagree,slightly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,slightly agree,slightly agree,slightly agree,slightly agree,strongly agree,slightly agree,strongly agree
