user_id,sex,age,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50
510154,female,18.8,sassy tired,very big wide,green wrinkled,blank,almond big,"pretty blue, bright",normal,bright wide round,very long lashes,almond blue,tired,kind round gentle,wide brown,pointy towards nose,round,small,differently shaped,asian,dull,big pretty,tired,high smaller,squinty,tiny,wide round close,"baggy, glare",round far appart,squinty makeup,no tear-line makeup,round full lashes,close together ,long lower lash,"bright blue, makeup ",big,round pale,blue,squinty cat-like,looking upward,round,big ,small,"slanted slightly, sexy",squinty,slanted round ,far appart,makeup pretty,not slanted almond,pale old,long lashes squinty,worried
510238,male,34.5,unimpressed,"beautiful, open",old,lost,ethnic,bright,surprised,pretty,latina,"smart, cunning",sharp,"goofy, masculine",plain,"kind, sad","generic, pretty",crooked,exotic,asian,pissed,kind,lazy,vacant,judgmental,"sad, bitchy",scared,damaged,asian,"sly, cunning",dull,hopeful,questioning,interested,fake,trashy,old,"bored, tired",half-asian,retarded,"sad, tired",big,sorry,piercing,annoyed,asian,tired,piercing,"sad, eerie",drunk,clever,angry
510381,female,18.4,droopy hooded eyes,HUGE ,hooded ,out of focus,nice shape brown,blue,average,blue almond,small narrow brown,blue,round almond brown,green,very big,brown,blue pretty ,hazel brown pretty,brown,brown,small brown,very big,round almond brown,big brown,thin almond brown,small,big brown,nice,big Asian eyes,small brown,brown,round almond brown,small blue,blue,big blue almond eyes,small blue,round blue,big sky blue,think almond,brown,big blue,droopy big blue,round blue,pretty green almond,small nice,circular,brown,beautiful hazel almond,droopy eyes brown,droopy b;ue,blue ,big hazel
510527,female,14.2,wide,big,small,average,average,big,wide,open,wide,average,small,small and masculine,big,angry,average,almond and beautiful,stern,almone,brown,big and pretty,judging,pretty and large,dull,bored,wide,open and dark,average,squinty?,pretty,strangely shaped,average,small,squinted,large,dull,average,squinted,whimsical,close together,odd,open and honest,pointed,dark and lowered,slanted and big,tired,large,big compared face,odd,small,tilted
510617,male,15.4,tired,awake,happy,cock eyed,small,happy,green,normal,normal,blue,green,normal,angry,oodd,even,blank,brown,serious,small,normal,tired,dark brown,nice,sad,even,blank,far apart,thin,normal,unamused,open,open,blank,high,uneven,blue,closed a bit,close togther,sad,large,open,nice,even,happy,no emotion,symmetrical,annoyed,scary,nice,uneven
510715,female,19.7,large deep,large pretty blue,smiling green slanted,deep,deep large sad,blue clear set,average normal whatever,light round alarmed,blue neutral normal,normal,normal,bare,round large light,dark almond determined,blue,small round pretty,small almond happy,small close dark,brown almond neutral,big,small dark droopy,brown short even,almond interested alluring,small closest eastern-european,shiny round closeset,round shiny blue,small sunken neutral,squinty,round,thoughtful almond symmetric,blue round determined,blue round normal,blue symmetric intense,blue normal serious,small round,surprised blue average,squinty smiling pretty,upset uneven green,deep,wide,closesey,almond,dark small closeset,round,droopy neutral normal,almond,round intense full,normal,normal blue average,blue happy average
510837,female,31.9,Tired,Scary,Old,Tired,Straighttalking,Pretty,Distant,Disgusted,Bored,Frank,Challenging,Tired,Big,Plain,Blank,Petite,Pretty but overdone,Ok,Straight forward,Drug related,Unamused,Average,Beautiful,Unattractive,Startled,Droopy,Demanding,"Small, vicious",Bland,Tired,Plain,Scary,Plain,Ugly,Mumsy,Ugly,Small but pretty,Faded beauty,Deer like,Weird,Ugly,Beautiful,Confrontational,Large,Tired,Pretty,Doe eyed,Aggressive,Attractive,Too far apart
510985,female,15.0,Exotic,Engaging,Bright,Tired,arched,Pretty,Average,average,Trashy,Captivating,Weird,mousy,brown,dark pretty,Pretty,Romantic,large eyelids,Asian,hahahah,nice colour,Boring,small,Sexy,sad,Beady,Honest,weird,well-shaped,normal,Kate Moss,Intense,Creepy,Only thing natural,disproportional,Fluttery,Pale,Judgemental,Dark,Meh,engaging,boring,Almond and beautiful,Rich,round,not nice,pretty,intense interesting,blue,blue,Incorrect
511103,male,60.9,detached,does not trust,looking at camers,watching,listening,deciding,watching,disbelief,bitch,listening,disbelief,disbelief,scared,listening,deciding,learning,judgemental,listening,uninterested,listening,tired,watching,uncertain,bored,uncertain,beginning to fear,bored,analysing,listening,bored,searching,surprised,listening uncertain,listening to instruction,listening and judging,flabergasted,deciding,disinterested,learning,listening,disbelief,listening,detached,cautious,bored,figuring,listening,shocked,interested,figuring
511104,female,18.9,"brown, neutral, tired,","hazel, oval, plain","green, pretty, happy,","brown, average, eyes,","brown, plain, nice","average, blue, pretty,","brown, shy, plain","blue, small, eyes,","brown, pretty, direct,","blue, excited, oval,","average, brown, reserved,","brown, oval, soft","brown, plain, oval,","brown, average, plain,","blue, pretty, round,","brown, plain, small,","brown, forward, plain","brown, direct, small,","brown, small, oval,","blue, average, oval,","brown, tired, bored,","brown, direct, small,","brown, pretty, sultry,","small, disgusted, blue","brown, round, direct,","hazel, dark, direct,","brown, shy, cute,","green, direct, average,","brown, unfocused, sad,","brown, cute, round,","blue, small, piercing,","blue, average, small,","blue, pretty, gentle,","blue, neutral, plain,","blue, plain, round,","blue, nervous, eyes,","brown, angry, unkind,","brown, unfocused, pretty,","blue, anxious, worried","blue, direct, big,","blue, round, small,","blue, pretty, neutral,","brown, pretty, tired,","brown, cute, round,","brown, big, average,","brown, pretty, lovely","brown, simple, oval,","blue, neutral, plain,","blue, pretty, engaged,","brown, soft, oval,"
511230,female,17.1,Almond crossed,Big circular,Squinty hooded,Slightly crossed,Face lift,Almond shaped,Almond shaped,Surprised ,Squinty,Nice almond,Average size,"Thin, off center",Big dark,Dark almond shaped,Average,Asian,Eyeshadow big eyes,Asian,Squinty,Beautiful dark ringed,Half closed,Small,Squinted,Close together,Round,Droopy,Dark ,Small long eyelashes,Small almond,Far apart crossed,Average almond ,Average,Orange,Almond shaped,Round ,Average,Squinty small,Dark,Defined dark,Big wide blue,Small close blue,Beautiful almond shaped,Dark ,Circular,Large Eyelids big,Small almond,Dark almond ,Slightly crossed blue,Pretty small almond,Almond
511346,male,16.6,Generic,Not Bad,Average,Dull,Blackout,Pretty,Bland,Average,Dull,Okay,Okay,Not Bad,Repetitive,Blackout,Not Bad,Dull,Dull,Blackout,Very Dull,Not Bad,Dull,Generic,Very Dull,Cool,generic,Repetetive,Blackout,Average,Not Bad,Bland,Piercing,Very Piercing,Really Pretty,Piercing,Okay,Pretty,Generic,Not Bad,Generic,Cool,Pretty,Cool,Generic,Dull,Very Dull,Dull,Blackout,Piercing,Pretty,Okay
511352,female,19.6,Slanted brown,Large light brown,Wrinkly small dull,Slanted golden brown,Small brown,Almond-shaped light blue,Average light brown,Average light,Low slanted brown,Average light blue,Average dark brown,Small tired brown,Average dark brown,Chocolate,Average light,Average brown,Large chocolate brown,Squinted brown,Small brown,Average light,Dark brkwn,Small dark brown,Slanted brown,Small dull,Average chocolate,Large brown,Small slanted brown,Wide-set dull,Average brown,Wide-set dark brown,Average light,Small average,Almond-shaped light blue,Average light blue,Average light,Average light,Small squinted brown,Small brown,Dog small brown,Wide-set light,Small light blue,Almond light,Chocolate,Small slanted brown,Average dark brown,Almond light brown,Large chocolate brown,Average light blue,Small squinted blue,Light brown
511461,female,19.2,annoyed,interesting ,happy,annoyed,condescending ,sexual,sad,forced,deep,rude,smart,tired,done,experienced,harsh ,disappointed ,strong ,calm,tired,intelligent,uninterested,proud,confident,sad,scared,disappointed ,questionable ,rude,plain,condescending ,scared,been through hardships ,pretty,humble,losing patience,sassy,experienced,hopeful,sad,know it all,sassy,intense,sassy,interested,caring,down to earth,angsty,irritated,playful,confused 
511555,female,25.0, , ,happy,sad,dark,happy,taken back,wide,straight,friendly,trusting, ,blank, ,intense,youthful,proud, ,wholesome,confused, ,shiny,forced,sad,  ,stunned,trusting,scepitcal,lost, , , ,hiding,blue,wide,interested,questioning,wondering,wondering,d,blue ,piercing,grounded,cute,unsure,open, ,anger,elegant, 
511186,male,21.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
511705,female,31.1,sleepy,big,warm,nothing to say,almond eyes,smart,indifferent,smart,long eyelashes!,determinated,almond eyes,average,feel sorry of,nice,relaxed,nice shape,smart,special,boring,clear,blurry,nice,nothing special,"small, like buttons",vibrant,big,strange,a bit mean,average,too soft,average,ok,"nice colour, bad feelings",clear,straigh to the point,warm,mean,not a nice look,ok,big,small,beautiful,boring,funny,tired,nothing special,big,tired,witty,warm
511842,female,27.6,tired but listening,questioning,agree while laughing,firm,ready to follow,agree,shock and doubtful,shock,serious,SERIOUS,serious,waiting,doubtful,listening,arguing,emphaty,confirming,thinking,serious while listening,believing,gloomy,following,thinking,agree to follow,proud,angry,listening but tired,whatever,snob,ready to follow,shock but listening,worried,tired but listening,listening,disagree and questioning,questioning,doubt,snob,gloomy,shock but listening,shock,not focused,listening to lecture,confirming,whatever,doubt,questioning,mad,BEAUTIFUL,confirming
511955,female,30.0,wide,big,happy,dark,deep,blue or green,large,very open,wide set,curious,deep set,set in,big,pretty,open,childlike,made up,like almonds,soft,interesting color,low,small,crescents,small,large,dark,wide set,prominent,round,low and dark,light,small,blue,light,noticeable,big,skinny,looking away,almond,wide set large,small,catlike,pretty,round,wide set,hazel,large,light,striking,sad
511947,female,19.0,we,e,e,q,te,w3e,e,re,e,e,qwe,e,e,dhwuiq,e,qw,e,e,e,e,erw,fat face,e,e,qqwr,wt,e,we,qwrwe,e,e,e,wer,e,e,ee,t,e,e,wr,rhweor,t,e,e,big,wr,we,e,ee,ee
512109,male,2015.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,5,3
512187,female,21.5,ok,big,ok,ok,brown,naturally pretty,small,ok,ok,pretty,ok,small,weird,normal,ok,pretty,ok,small,small,pretty,drousy,brown,semi-pretty,too small,small,too big,weird,ok,ok,sad,wide,ok,pretty,gray,pretty,ok,squinty,ok,ok,too big,ok,pretty,normal,far apart,big,pretty,too close,ok,pretty,euh
512422,female,43.7,sad,wide,old,indian,spanish,appealing,average,homely,too much mascara,studious,french,homely,homely,mesmerising,pretty,kind,too much makeup,oriental,hard,kind,wary,hispanic,exotic,sad,irish,wary,oriental,almond,average,exotic,mad,north american,bright,homely,irish,blue,tired,crossed,average,homely,swedish,pretty,street smart,honest,street smart,worn out,indian,old,hard,average
512535,female,16.6,big,large,uneven hazel nice,brown big squint,porcelain,blue,normal,big blue,brown,blue bright,big,big,big brown wide,big,blue,brown,brown,wide brown large,brown normal ,blue,lazy dark moody,brown,lavish brown large,small green,round big bright,big,small,green dull wide,calm,brown big cornerts,blue,blue,blue,blue bright big,blue,blue bright big,calm wide big,nice,blue,blue,bright big blue,blue,brown,round slanted alert,normal,big,eyeliner,blue wide pail,blue,big rbight
512604,male,2015.5,dare,suddenness,humor,disinterest,interest,satisfaction,rostration,resentment,irritation,sarcastic,distrust,disappointment,resentment,spite,compassion,commiseration,pride,fear,calmness,languor,flaccidity,courage,suspiciousness,plea,painful surprise,resentment,solicitude,indifference,fatigue,vexation,consternation,perturbation,hopelessness,nonchalance,severity,indignation,suspiciousness,obsession,stubbornness,demand,condolence,passion,spite,astonishment,fatality,mockery,fatality,apathy,distrust,condescension
512650,female,5.2,smart,bright,old,understanding,intriguing,simple nice pretty,normal,round,normal,bright,plain,soft nice,almond,plain,cold,small almond,deep set,intelligent,understanding,kind,fierce,brown,feirce,small ,round,big,small,plain,plain,low set,kind,distant,predictable,puppy dog eyes,bright,blue,soft,disconnected,round,intriguing,small normal,soft,kind,round kind,kind,peircing,big,bright,piercing,nice
512752,female,18.7,"Dark, brown",Light brown,Light,Dark brown,Dark,Light,Dark,Light,Brown,Blue,Dark,"Dark, hazel",Dark brown,Dark brown,Dark,Dark,Dark,Dark brown,Dark brown,Shinning,Dark,Dark,Dark,Light,Dark brown,Brown,Very dark,Light,Dark,Dark brown,Light,Dark blue,Light,Very light,"Blue, light",Light blue,Brown,Dark brown,Blue,Light blue,Light blue,"Green, glowing",Dark,Dark,Dark brown,Hazel,Dark,Light,Shinning,Dark
512823,female,14.4,f,gf,wrf,d,fierce mysterious sexy ,fw,evre,d,d,rfr,w,ef,g,ber,rf,we,ef,kind innocent fearless,wf,we,fw,wr,gwf,d,f,rf,nice smart,fw,bvre,rw,ff,r,dwef,w,wide kind welcoming,wef,rf,wef,d,fw,wrf,vgw,var,fw,er,f,d,wg,rw,wr
512906,female,24.0,Guilty,Scared,Tired,Tired,Doubtful ,Determined ,Sad,Scared,Tired,Happy,Understanding ,Sad,Angry,Angry,Happy ,Quiet ,Listening ,Mad,Friendly ,Listening ,Sad,Bored ,Confused,Sad,Awake,Angry,Happy,Listening,Sad,Innocent ,Friendly,Awake,Mad,Tired,Awake,Awake,Intent,Sad,Worried ,Tired,Tired,Friendly,Quiet,Innocent ,Tired,Determined ,Mad,Mad,Doubtful,Upset 
133155,female,63.3,average light brown,large hazel,wide medium gray,brown large ,average dark brown,average blue gray,average light brown,average light gray,wide average brown,average light blue gray,average light brown,average hazel,large light brown,average dark brown,average blue gray,small medium brown,average light brown,wide small dark brown,small dark brown,large blue gray,wide small dark brown,average dark brown,dark brown wide,small gray,small light brown,average hazel,small dark brown,small medium gray,average light brown,average light brown,large light gray,average blue gray,average light blue,large pale blue gray,average green gray,large light blue,wide average hazel,average light brown,average hazel,large light gray,average blue gray,average light gray,small dark brown,small dark brown,large medium brown,average light brown,large dark brown,average pale blue,small light blue gray,average light brown
513098,female,22.4,tristes,muy grandes,miedo,cansados,nose,lindos,juntos,lindos,feos,feos,nose,cansados,demacrados,feos,lindos,lindos,feos,mas chicos,chicos,caidos,caidos,nose,feos,tristes,feos,raros,demacrados,lindos,chicos,separados,feos,nose,lindos,juntos,feos,feos,desagradables,raros,feos,grandes ,feos,lindos,lindos,raros,cansados,bonitos,grandes,enojados,lindos,tristes
513182,male,50.0,tired uninterested,big staring ,friendly happy ,stubborn unfriendly,wide staring self-sufficient,intelligent probing,almond manipulative,querulous ,whatever sociable,positive ready,no-nonsense assertive ,open innocent ,probing suspicious,questioning suspicious,hard ready,firm clear unflinching,feminine changeable,emotional ,observing careful,open flexible,tired drugged,calm penetrating amused,amused sexy confident,mistreated ,assured confident,unbelieving firm,stranded afraid,piercing angry,fair ,wide sad apprehensive,straight uncompromising,average ,retreating scared,aware ,icy noble capable,adept ,penetrating catty,sharp staring,bold straightforward,aloof ,honest bored ,reserved ,dismissive guarded,apprehensive unsure,knowing ,superior arrogant ,certain wary,hard unresponding,amused questioning unbelieving,flat 
513224,female,15.5,tired,big,happy,bored,brown,grey,uncomfortable,grey,brown,grey,brown,dull,brown,happy,pretty,model,mom,small,thoughtful,grey,daek brown,black,in deep thought,simple,attentive,lost,dark brown,focused,brown,bored,grey,wide,pretty but bored,blue grey,youthful,blue,small,distracted,focused,fierce,light blue,grey,dark brown,interested,bored,pretty,black,angry,blue,sweet
513342,female,20.0,different,tt,t,off,t,t,t,t,"normal, almond",t,t,plain,t,"normal, brown, tear",t,t,t,t,t,"droopy, dark, big",t,brown,t,t,t,"big, droopy, intimidating ","small, sweet, round",t,"big, brown, straight",t,"open, striking, wide",tt,"almond, blue, beautiful",t,t,"droopy, blue, big",t,"droopy, brown, average",t,t,t,t,t,t,"big, round, dark","almond, hazel, droopy",t,t,t,t
513461,female,15.7,Unemotional,Doe eyed,Sweet,Uneven,Uneven,Wide,"Uneven,",Alert,"Wideset, small","Alert, green",Big,Droopy,Big,"Pretty, big",Big,Deep,Alert,Big,Small,Doe eyed,Droopy,Pretty,"Squinty, pretty, desirable","Small, close",Wide,Scared,Wide set,Wideset,"Sad, unemotional",Wideset,Big,Wide,Pretty,Wide,Wide,"Green, wide","Beady, Brown",Uneven,Sad,Wideset,Green,Gorgeous,"Small, pretty","Wide, alert","Big, brown",Clear,Big,Unemotional,Big,Uneven
483160,male,25.3,average,open,average,squint,small thin,friendly,normal,round open,average,attractive,small,trustworthy,wide opebn,sleepy,attractive,small round,sleepy,angry,average,round open,half-closed,small,thin,small,wide open,open,roung,elipse,small,gap,straight,straight,thin,bright,small roung,normal,thin,sleepy,small,round,small roung,ellipse,small,round small,tired,normal,thin,normal,friendly,asymetric
513569,female,18.9,drug addict,big,nice,eh,bright and bold,pretty,prominant ,makeup,long eyelashes,gorgeous,cute,adolescent ,eh,dark and scary,pretty,dark and pretty,old,asian,eh,wide,tired,dark,gorgeous,old fashioned ,anime eyes,pretty,full lashes ,dull,adorable,cute,eh,blue,blue and pretty,eh,blue,eh,narrow,dark,sad,blue,small,blue and bold,mysterious ,lazy eye,lazy,bold and pretty,too much eyeliner ,old...,blue,puppy eyes
513689,female,23.6,Tired,Wide,Droopy,Dark,Narrow,Pretty,Narrow,Wide,Narrow,Light,Brown,Narrow,Dark,Dark,Bright,Small,Made up,Almond shaped,Small,Light,Droopy,Small,Squinty,Sad,Unfocused ,Black,Slanted,Narrow,Pretty brown,Droopy,Light,Brown,Light and narrow,Light,Green,Blue,Very narrow ,Dark,Heavy eye liner,Light,Light,Narrow,Dark and droppu,Round,Droopy,Squinty,Heavily made up,Blue,Squinty,Uneven
513817,female,18.0,"brown, unamused",hazel,green,"dark brown, off-center",brown,"blue, happy","brown, plain","blue, skeptical","brown, glassy","blue, surprised","brown, smirking",brown,"wide, intimidating, brown",brown,"blue, pretty","brown, bored","hazel, interested",dark brown,brown,green,"brown, bored",brown,"squinty, brown","green, skeptical",brown,light brown,"brown, skinny","hazel, squinty","brown, average","brown, wide","hazel/green, wide",hazel,"blue, small, white","blue, plain","green, kind",light blue,"squinty, brown","brown, confused, annoyed","worried, bluish-green","blue, wide","pinched, blue, wide",hazel/green,"brown, squinty","brown, elongated","brown, bored",hazel/brown,"brown, wide","brown, intimidating","blue, deceiving","hazel, disappointed"
513845,male,32.4,sad,empty,"sad, scared",bored,mean,kind,worried,"scared, taken-aback",lost,"looking, intense",haughty,"soft, caring","worried, conscious",staring,strict,searching,"perplexed, questioning",unsure,"self conscious, low esteem","kind, desperate",bored,intimidating,"mean, questioning","sad, weak",shock,"mean, bitchy","wondering, curious",stern,stern,sad,shocked,unknown,fake,haughty,fierce,unsure,"questioning, doubtful",lost in thought,stressed,"alien, buggy",scared,intense,bitchy,"ready, excited",meth user?,"haughty, confident","alien, scary","drugged, shocked",searching,confused
513929,female,2015.6,clear bored,beautiful,uneven,honest,clear honest realist,beautifyl,direct,direct,direct beautiful,beautiful,determined,direct ,large clear,shine,beautiful,clear shine beautiful,beautif,direct  anger annoyed,direct,direct beautiful,fatigue bored,shine perfect,fierce mysterious,sad small ,beautiful,clear direct,honest beautiful,honest direct,shine honest,s,clear shine direct,direct faded,bored cute,clear honest,beautiful,beautiful,fierce beautiful,upward,sad honest ,direct,honest fun beautiful,beautiful perfect,shine beautiful,beautiful,honest,beautiful determined,large,direct big,beautiful,honest beautiful
514055,male,15.4,annoyed,happy,content,neutral,dark,happy,plain,neutral,calm,neutral,neutral,sad,neutral,neutral,neutral,neutral,neutral,plain,neutral,neutral,sad,neutral,suspicious,sad,suspucious,intense,neutral,sad,neutral,tired,neutral,neutral,neutral,neutral,neutral,neutral,suspicious,tired,neutral,neutral,neutral,serious,angry,happy,tired,neutral,neutral,angry,intense,neutral
514030,male,15.9,meh,yah,meh,ok,yah,ok,meh,ok,ok,ok,ok,...,meh,yah,ok,meh,ok,yah,meh,why not,ok,ok,ok,ok,ok,ok,umm,ehh,yah,ok,ok,ehh,yah,ok,ok,ok,ehh,yah,ok,ok,ok,ok,ok,ok,ok,not bad,ok,ok,yah,eh
514030,male,15.9,sad,excited,happy,sad,happy,happy,sad,scared,happy,beffudled,neutral,sad,neutral,dark,sad,neutral,neutral,neutral,normal,neutral,sad,sad,scrutinizing,sad,scared,scared,normal,sad,worried,scrutinizing,sad,scared,bland,sad,neutral,sad,happy,sad,sad,neutral,funny,happy,angry,judgmental,sad,sad,sad,angry,happy,sad
514209,female,25.3,f,lala,happy,f,angry,dc,aka,cunfussed,jhba,happy,sad,f,sad,angry,sad,angry,ede,angry,f,f,jba,f,sds,sad,f,kabjka,angry,ff,cd,surpise,f,neutral,angry,neutral,sad,neutral,f,sad,sdd,dc,dcd,neutral,sad,happy,dc,dcc,f,f,happy,neutral
514344,female,25.7,dazed,wide,uneven,too close,nice,wide,uneven,startled,nonplussed,alert,dead,nothing,weird,cross eyed,sparkly,wide,old,brown,sad,lopsided,tired,brown,unsure,too small,circle,unsure,bored,cold,small,bored,scary,ugly,ice,too pale,sad,sad,wary,thinking,away,too big,round,pretty,sad,round,sleepy,small,bug,disturbed,amused,uneven
514422,female,15.4,drunk,adventurous,Pained,tired,Dominant,fierce,pained,Bitchy,tired,content,normal,Hopeless,Afraid,Pained,Hopeful,dreamy innocent,happy,Angry,Tired,dreamy,bored or angry,Boring,sassy,done with everything,dreamy,defensive,Tired,judging,normal,smart,young,normal,normal,blank,old,careless,beautiful,Strong,scared,Fascinating,Careless,Fierce,strong,gossip,tired,judging,Beautiful innocent,stern,careful,worried
