user_id,sex,age,f_easian,f_wasian,f_white,m_easian,m_wasian,m_white
52818,male,25.7,"1,2,3,4,5","3,2,1,4,5","3,2,4,1,5","4,3,5,2,1","3,2,4,1,5","3,4,2,1,5"
52819,female,37.6,"3,2,4,1,5","3,4,2,1,5","2,1,3,4,5","3,4,5,2,1","3,2,1,4,5","4,3,2,5,1"
52821,female,31.1,"1,2,3,4,5","2,1,3,4,5","2,1,3,4,5","3,4,2,5,1","2,3,4,5,1","3,2,4,1,5"
52827,female,24.9,"3,2,1,4,5","2,1,3,4,5","2,3,1,4,5","5,4,3,2,1","4,3,2,5,1","3,4,5,2,1"
52829,female,18.7,"2,1,3,4,5","1,2,3,4,5","1,2,3,4,5","3,4,2,1,5","2,3,1,4,5","2,3,1,4,5"
52828,,,"1,2,3,4,5","2,3,4,1,5","2,1,3,4,5","4,3,2,5,1","3,2,4,5,1","4,5,3,2,1"
52832,female,18.7,"1,2,3,4,5","2,3,1,4,5","1,2,3,4,5","2,1,3,4,5","2,1,3,4,5","1,3,2,4,5"
52834,male,19.5,"3,2,4,1,5","3,2,4,1,5","3,2,1,4,5","4,5,3,2,1","3,4,2,5,1","4,3,5,2,1"
52701,female,17.2,"1,4,2,3,5","1,2,3,4,5","1,3,2,4,5","5,4,3,2,1","2,1,3,4,5","3,4,2,1,5"
52838,male,26.6,"2,1,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,5,4","1,2,3,4,5"
52839,female,21.7,"2,3,1,4,5","1,2,4,3,5","1,2,3,4,5","3,2,1,4,5","3,2,4,1,5","3,2,1,4,5"
52843,female,22.0,"3,2,1,4,5","1,2,3,4,5","1,2,3,4,5","4,1,3,2,5","1,2,4,3,5","1,4,5,2,3"
52846,female,20.6,"3,2,1,4,5","3,2,1,4,5","2,1,3,4,5","1,2,3,5,4","2,4,5,3,1","3,4,5,2,1"
52847,female,15.9,"1,3,2,5,4","1,2,3,4,5","2,3,1,4,5","4,1,2,3,5","2,3,1,4,5","4,3,2,1,5"
52851,male,,"3,5,4,2,1","2,3,1,4,5","1,3,2,4,5","4,2,5,3,1","3,2,4,1,5","2,3,1,4,5"
52853,female,18.7,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","2,3,4,1,5","2,3,4,5,1","2,3,4,1,5"
52855,female,18.8,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","2,1,3,4,5","2,1,3,4,5","1,2,3,4,5"
52860,female,22.5,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","5,3,4,2,1","4,3,5,2,1","5,4,3,2,1"
52861,male,24.0,"3,4,2,5,1","2,1,3,4,5","2,3,1,4,5","1,4,5,3,2","4,3,2,5,1","5,4,3,2,1"
52862,female,28.2,"1,2,3,4,5","2,1,3,4,5","2,3,1,4,5","2,3,4,1,5","2,1,3,4,5","2,1,3,4,5"
52864,male,18.6,"2,3,1,4,5","1,2,3,4,5","1,2,3,4,5","3,4,5,2,1","2,3,5,1,4","3,5,4,2,1"
52868,female,23.5,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","2,1,3,4,5","2,1,3,4,5","2,1,3,4,5"
52869,female,20.1,"2,1,3,4,5","1,2,3,5,4","1,2,3,4,5","5,3,4,2,1","2,3,4,1,5","2,3,1,4,5"
52871,male,38.2,"3,1,4,2,5","1,2,5,3,4","3,2,4,5,1","4,3,2,5,1","2,3,1,5,4","4,5,3,2,1"
52874,female,13.6,"1,2,3,4,5","1,2,3,4,5","2,3,1,4,5","1,2,3,4,5","2,3,1,4,5","2,3,4,1,5"
52873,female,27.5,"3,2,1,4,5","1,2,3,4,5","1,2,3,4,5","5,4,3,2,1","3,2,1,4,5","3,2,4,1,5"
52876,female,22.9,"2,3,1,4,5","2,3,1,4,5","3,1,2,4,5","3,2,4,1,5","3,2,1,4,5","2,4,3,5,1"
52878,female,18.8,"1,4,2,3,5","1,2,3,4,5","1,2,3,4,5","1,3,2,4,5","1,2,3,4,5","1,2,3,4,5"
52881,male,19.9,"1,2,3,4,5","3,2,4,1,5","2,1,3,5,4","1,3,4,2,5","2,3,4,1,5","3,4,1,2,5"
52882,male,37.9,"2,1,3,4,5","1,2,3,4,5","1,2,3,4,5","5,4,3,2,1","1,2,3,4,5","3,2,1,4,5"
52885,male,53.1,"3,1,2,5,4","3,2,4,1,5","3,2,1,4,5","5,4,3,1,2","3,4,2,1,5","3,4,5,2,1"
52887,male,19.1,"1,5,2,3,4","5,3,1,2,4","4,2,3,1,5","1,3,5,2,4","3,4,2,5,1","3,1,2,4,5"
52889,female,21.6,"1,5,2,4,3","2,3,1,5,4","1,2,3,4,5","5,4,3,1,2","2,3,1,4,5","3,4,2,5,1"
52890,female,23.4,"1,2,3,4,5","2,3,1,4,5","1,3,2,4,5","3,4,2,1,5","2,3,1,4,5","3,2,4,1,5"
52892,male,22.7,"1,2,3,4,5","2,5,3,1,4","1,4,2,5,3","2,4,1,5,3","5,1,3,2,4","5,3,1,4,2"
52896,female,21.2,"1,3,2,4,5","3,1,2,4,5","1,2,3,4,5","2,3,4,1,5","1,2,4,3,5","2,1,3,4,5"
52899,female,23.3,"3,2,1,4,5","3,2,1,4,5","1,2,3,4,5","3,1,2,4,5","3,2,1,4,5","5,4,3,1,2"
52903,male,30.6,"2,1,3,4,5","1,2,3,4,5","1,2,3,4,5","3,2,1,4,5","3,2,1,4,5","3,4,2,5,1"
52904,female,19.3,"4,3,2,1,5","2,3,1,4,5","2,1,3,5,4","3,1,2,5,4","2,4,1,3,5","3,4,2,5,1"
52907,female,22.3,"1,2,3,4,5","2,1,3,4,5","2,3,1,4,5","4,2,5,3,1","3,4,2,1,5","4,5,3,2,1"
52906,female,15.3,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","2,3,4,1,5","2,1,3,4,5","3,2,1,4,5"
52909,male,21.2,"2,1,3,4,5","2,3,1,4,5","2,1,3,4,5","5,4,3,2,1","3,4,2,1,5","2,3,1,4,5"
52911,male,22.6,"2,4,1,3,5","1,2,3,4,5","2,1,3,4,5","3,4,2,5,1","4,3,5,2,1","4,2,5,3,1"
52912,male,35.8,"1,2,3,4,5","2,1,3,4,5","1,3,2,4,5","4,1,3,2,5","4,3,2,1,5","5,3,2,4,1"
52914,male,37.3,"1,3,2,5,4","1,4,2,5,3","2,1,3,5,4","1,2,4,5,3","2,3,1,5,4","2,3,1,5,4"
52917,male,31.6,"1,3,2,4,5","1,2,3,4,5","1,2,3,4,5","3,2,4,1,5","3,4,2,1,5","2,3,4,5,1"
52918,female,20.8,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","2,1,3,4,5","2,3,1,4,5","2,3,1,4,5"
52915,female,17.7,"1,2,3,4,5","2,1,3,4,5","1,2,3,4,5","1,4,3,2,5","2,1,3,4,5","3,4,2,1,5"
52922,female,20.8,"1,2,3,4,5","1,2,3,4,5","3,1,5,2,4","4,3,5,2,1","3,4,2,5,1","4,5,3,2,1"
52920,female,27.2,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","5,4,3,2,1","4,3,2,1,5","3,4,5,2,1"
52927,female,19.1,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","3,2,4,1,5","2,1,3,4,5","2,3,4,1,5"
52929,female,19.1,"1,3,2,4,5","2,1,3,4,5","1,2,3,4,5","3,2,4,5,1","4,3,2,1,5","5,3,4,2,1"
52932,female,18.5,"1,2,5,4,3","2,1,3,5,4","1,5,3,4,2","3,5,1,4,2","3,4,1,2,5","1,5,3,2,4"
52936,female,30.7,"3,4,2,5,1","2,1,3,4,5","2,3,1,4,5","4,3,5,2,1","3,2,4,1,5","3,4,1,2,5"
52937,male,18.8,"2,1,3,4,5","2,1,3,4,5","2,1,3,4,5","2,3,4,5,1","3,2,4,1,5","3,2,5,1,4"
52940,male,24.6,"1,3,2,4,5","1,2,3,4,5","2,1,3,4,5","3,2,4,1,5","1,2,3,4,5","3,2,4,1,5"
52941,female,13.9,"1,2,3,4,5","2,3,1,4,5","2,1,3,4,5","5,3,1,4,2","3,2,1,4,5","3,2,1,4,5"
52944,male,24.1,"1,2,4,5,3","1,2,3,4,5","1,2,3,5,4","1,4,2,3,5","1,3,2,4,5","3,4,1,2,5"
52948,female,18.5,"2,1,3,4,5","1,2,3,4,5","1,3,2,4,5","2,1,3,4,5","1,3,2,4,5","3,1,2,4,5"
