user_id,date,Op1,Ne1,Ne2,Op2,Ex1,Ex2,Co1,Co2,Ne3,Ag1,Ag2,Ne4,Ex3,Co3,Op3,Ex4,Op4,Ex5,Ag3,Co4,Co5,Ne5,Op5,Ag4,Op6,Co6,Ex6,Ne6,Co7,Ag5,Co8,Ex7,Ne7,Co9,Op7,Ne8,Ag6,Ag7,Co10,Ex8,Ex9
5001,2006-03-13,5,1,2,6,1,1,4,4,1,3,3,3,2,5,5,2,4,5,2,3,3,4,6,5,6,3,3,2,4,2,3,2,1,3,6,1,2,2,3,2,2
5213,2006-01-07,0,4,2,6,1,2,3,4,4,6,4,5,3,5,5,1,0,2,4,3,2,2,5,3,6,4,3,4,2,5,2,4,2,2,6,5,5,2,3,3,5
5221,2006-06-15,6,5,3,1,1,3,2,2,2,3,2,5,2,3,5,3,4,3,2,3,1,1,3,4,3,4,2,4,1,3,2,3,6,2,4,5,2,1,4,1,4
5306,2006-11-13,4,3,1,4,2,5,2,3,6,4,4,3,5,4,5,4,2,6,5,1,1,3,3,4,4,5,5,5,2,2,3,5,4,3,5,4,4,4,1,4,5
5375,2005-10-27,6,3,3,4,3,0,0,2,2,5,3,3,2,4,3,2,5,2,4,0,0,6,0,6,0,6,0,0,0,0,0,0,,2,2,4,4,2,4,2,1
5377,2005-10-26,6,3,2,5,2,3,2,2,4,5,5,5,1,4,3,5,0,3,5,3,2,4,1,5,5,5,3,4,1,2,3,2,5,2,6,5,5,3,2,5,5
5378,2005-11-10,6,3,5,5,5,5,2,2,2,2,0,5,5,4,5,6,6,5,2,5,4,6,5,1,6,6,5,3,2,2,6,6,5,4,5,4,1,1,5,4,6
5379,2005-10-28,6,4,3,5,3,5,5,4,1,5,3,2,2,4,4,4,4,4,4,5,2,4,6,5,5,6,2,2,4,4,1,4,4,3,6,3,5,5,5,5,5
5383,2005-11-21,6,2,4,0,3,3,4,3,1,3,6,6,,,,5,,2,2,,,2,,,,2,,2,4,,,,,,,,,,,,
5385,2005-10-26,6,,3,2,3,2,1,3,2,2,5,4,5,2,3,1,2,3,2,3,4,3,4,2,3,2,4,4,3,4,2,3,1,5,2,2,3,2,4,3,0
5387,2005-11-10,4,1,0,6,4,6,4,1,1,6,6,3,4,6,5,5,4,4,6,4,3,2,6,6,5,6,4,1,3,4,0,4,4,3,4,3,6,6,4,5,5
5393,2005-11-09,6,3,3,2,3,5,4,4,1,4,5,4,3,4,2,5,0,4,4,3,4,2,3,4,4,4,3,2,3,3,3,4,3,6,2,2,4,4,6,4,4
5394,2005-11-09,3,2,3,3,4,4,4,4,2,5,5,3,4,4,3,4,3,4,4,4,2,4,4,4,3,4,4,2,3,2,4,5,3,4,4,3,6,4,4,4,6
5399,2005-11-22,3,4,4,2,1,4,1,4,5,5,5,5,2,4,2,5,3,2,5,1,0,5,5,5,4,4,3,5,4,4,2,6,6,4,4,4,6,5,5,4,5
5400,2005-11-21,3,2,4,4,4,4,3,4,3,5,5,3,3,4,5,5,3,4,4,4,4,3,4,4,4,4,4,2,4,4,4,5,2,3,5,2,6,3,4,3,5
5402,2005-11-21,6,4,2,6,4,4,4,4,1,6,6,4,3,4,5,5,4,2,4,6,5,4,5,5,6,5,5,1,3,6,2,6,1,2,6,1,5,4,6,2,6
5403,2005-11-08,5,4,4,4,4,3,2,4,4,3,4,4,4,3,4,4,4,2,4,2,2,2,4,5,4,4,5,2,2,3,2,4,4,3,5,4,4,4,3,4,4
5408,2005-11-08,4,4,2,5,4,3,5,4,5,5,5,5,4,2,5,5,5,3,4,2,1,5,6,4,4,4,4,5,1,5,5,5,4,5,5,5,5,4,4,5,6
5413,2005-11-14,6,4,4,3,4,4,3,2,5,6,5,2,0,2,3,5,0,3,4,2,2,5,4,4,3,6,1,6,2,4,2,5,5,3,4,4,6,5,3,5,4
5415,2005-11-10,6,1,3,6,3,3,2,2,3,6,6,4,4,2,2,5,5,4,5,3,5,0,6,5,0,5,4,3,6,4,3,3,1,,0,1,6,5,3,6,6
5421,2007-07-21,4,1,0,2,2,5,2,5,1,5,2,2,2,4,5,3,4,2,5,3,4,0,6,5,1,4,2,1,3,6,5,2,2,4,3,4,3,4,5,3,4
5477,2005-10-28,6,3,2,4,4,4,2,2,0,6,4,4,3,4,2,4,5,3,4,3,1,5,5,3,4,5,4,3,2,3,2,1,1,4,3,1,5,3,4,5,5
5719,2005-11-23,1,5,3,2,4,4,5,4,1,4,3,2,3,3,2,5,4,4,4,4,3,1,3,5,4,2,5,1,5,3,3,5,3,2,4,2,4,4,3,4,4
5805,2005-10-25,3,4,1,6,1,2,2,2,4,5,2,5,1,3,6,3,3,2,4,1,1,3,4,4,4,4,1,3,1,5,2,1,3,3,6,4,5,4,4,3,1
5807,2005-11-21,6,0,1,1,4,4,6,6,0,6,6,1,2,6,3,5,1,5,6,3,5,0,6,6,6,6,5,1,6,6,6,6,0,6,5,1,5,6,6,6,6
5808,2005-11-08,6,2,5,1,4,4,3,4,2,5,4,3,4,4,4,3,3,3,4,3,3,5,5,5,6,2,5,2,4,3,3,6,2,4,3,3,2,2,3,4,6
5810,2005-11-25,5,3,4,4,3,3,4,5,3,5,4,4,2,4,3,4,2,3,3,4,5,4,3,3,3,4,2,3,3,3,3,3,3,4,3,3,4,4,3,4,4
5813,2005-10-26,5,4,4,6,5,6,2,3,1,5,5,5,5,5,6,4,5,6,4,1,2,4,6,5,6,5,5,1,2,3,4,6,3,3,6,3,5,3,6,3,6
5817,2005-11-21,3,4,4,1,5,4,5,4,2,5,2,4,4,4,3,5,3,4,4,4,2,3,0,5,1,5,4,1,1,1,1,5,1,4,1,1,5,3,5,5,5
5818,2005-10-26,3,4,3,4,2,4,4,4,3,5,4,3,3,4,4,4,3,3,6,5,4,4,5,4,4,4,4,1,4,4,2,6,2,5,4,2,5,3,4,5,6
5827,2005-11-22,6,3,1,4,4,4,3,2,4,6,5,4,1,3,5,4,5,3,2,2,1,6,2,5,2,4,2,5,4,5,4,5,3,4,5,4,5,1,4,4,5
5829,2005-11-22,6,1,5,1,2,4,4,3,4,6,6,4,0,4,3,4,0,3,5,3,4,5,5,5,1,4,3,3,4,2,3,5,2,5,4,3,5,5,5,3,5
5830,2005-11-08,6,3,3,5,5,5,5,5,2,6,4,3,3,5,3,5,5,3,4,5,4,3,1,5,3,4,3,4,3,3,4,5,3,3,3,2,5,2,4,5,5
5871,2005-11-22,5,4,4,6,4,4,5,5,2,6,5,3,4,5,5,5,5,4,4,4,5,2,5,5,5,5,5,1,4,2,4,6,3,5,6,2,3,3,5,5,6
5882,2005-11-04,5,4,4,0,1,3,5,2,3,1,6,5,0,1,5,1,5,4,1,2,2,1,6,2,0,6,1,4,1,4,1,1,5,5,0,5,6,3,6,1,1
5897,2005-12-20,4,2,4,6,1,1,4,2,5,6,6,5,1,2,5,3,4,1,5,3,1,5,5,5,5,3,1,5,2,6,1,1,4,2,6,4,6,6,4,2,2
5939,2005-11-15,3,1,2,4,3,5,5,4,1,4,2,1,3,4,3,4,3,3,3,4,2,2,5,2,2,4,5,0,2,6,4,5,1,5,4,1,6,3,4,5,5
5940,2005-11-01,3,4,2,3,2,2,3,3,3,4,4,4,3,4,3,1,3,2,2,4,4,3,5,2,4,4,3,2,4,5,2,4,3,5,3,3,6,2,4,3,3
5950,2005-11-21,3,5,5,6,4,5,5,5,3,6,5,2,,2,5,6,3,4,2,6,2,4,5,6,6,6,3,2,2,5,5,6,1,6,6,5,6,6,6,5,5
5957,2005-11-14,,0,1,3,2,4,4,4,1,4,5,1,3,4,4,4,,3,4,4,2,1,2,4,5,4,3,1,4,4,2,4,1,5,4,1,5,4,5,4,5
5966,2005-11-08,6,0,3,5,3,5,4,5,1,6,6,1,1,5,4,5,5,5,6,3,1,0,5,5,5,4,3,1,2,5,4,6,0,5,6,0,6,5,5,6,6
5968,2005-11-09,3,1,2,3,4,5,4,4,3,5,5,4,2,4,3,5,3,4,5,5,3,6,4,4,3,3,3,2,3,4,4,5,3,4,3,3,6,6,0,6,6
5969,2005-11-21,3,3,3,3,4,3,6,5,1,6,6,5,3,3,3,3,3,4,1,3,1,0,1,6,3,5,2,1,3,3,5,3,0,3,3,0,6,6,6,3,3
5972,2005-11-07,6,4,3,2,3,3,1,1,1,5,3,4,4,3,4,5,0,2,3,3,0,0,4,6,0,3,5,1,3,3,1,4,1,3,6,1,6,3,3,3,4
5974,2005-11-08,4,4,4,6,5,5,4,4,3,5,2,2,4,5,5,5,5,5,4,4,4,2,6,5,4,5,4,3,3,2,2,4,3,2,0,2,5,2,5,5,6
6067,2005-10-28,6,2,0,6,3,4,2,3,1,6,5,5,3,5,3,3,3,3,5,3,4,0,6,6,5,0,2,1,2,5,0,3,3,5,3,1,6,5,6,5,5
6093,2005-11-09,6,4,5,5,0,1,3,4,4,4,5,5,0,3,6,1,6,1,3,4,1,4,4,4,6,4,1,5,1,5,1,1,5,3,6,5,6,3,2,2,2
6166,2005-11-03,6,1,4,1,1,2,4,4,3,5,4,3,3,4,2,4,0,2,4,2,3,2,4,4,4,5,2,3,3,4,4,3,2,4,4,1,5,4,4,4,3
6167,2005-11-23,4,5,4,5,1,3,2,2,4,3,3,3,2,2,3,2,3,3,3,4,2,4,3,3,5,3,3,5,1,3,2,3,4,3,5,4,5,3,3,2,3
6171,2005-10-28,6,5,3,4,4,4,2,2,1,5,5,2,3,2,5,4,0,4,3,2,4,1,5,4,5,4,4,2,3,5,2,5,3,5,5,2,6,4,3,2,6
6172,2005-11-15,3,1,3,1,4,4,4,2,1,5,4,1,3,4,3,5,3,3,3,3,3,1,5,4,4,3,5,2,2,4,3,6,0,6,5,0,6,4,5,6,6
6173,2005-11-08,6,6,2,3,6,6,3,2,4,5,5,3,5,5,4,6,3,4,5,1,0,5,3,6,3,3,5,5,2,5,2,6,3,5,5,3,5,5,5,6,6
6177,2005-11-09,5,3,3,4,4,4,3,4,1,5,4,3,4,5,5,5,4,4,4,3,1,3,4,5,5,5,5,1,2,3,4,5,2,4,5,2,5,4,5,5,5
6179,2005-11-21,4,1,2,3,3,3,5,4,4,5,6,2,1,5,3,3,2,3,3,4,3,6,2,6,4,5,3,5,3,4,4,4,3,5,5,4,6,3,5,2,5
6185,2006-04-27,6,6,3,3,4,4,5,5,3,6,6,4,3,5,3,5,4,4,5,4,0,5,3,3,3,3,1,4,2,3,5,2,3,3,6,4,3,3,4,3,4
6186,2005-11-21,3,6,3,4,2,3,1,1,0,6,3,3,5,4,2,3,3,3,3,3,2,3,6,3,3,6,2,1,4,2,3,4,3,3,6,3,2,4,3,2,5
6187,2005-11-25,6,4,3,6,5,6,4,4,5,6,2,4,5,5,0,5,0,5,6,0,0,,6,5,0,4,5,3,1,1,0,1,4,0,6,2,3,4,0,5,4
6196,2005-10-26,6,5,2,2,5,5,2,4,2,5,2,2,4,5,6,5,6,5,5,5,1,1,6,4,6,4,5,2,1,4,0,5,4,4,5,4,4,5,5,5,5
6263,2005-11-09,3,5,5,6,4,2,3,5,1,6,5,3,0,3,3,0,3,4,5,2,2,4,4,2,2,5,1,1,3,3,2,1,3,3,6,4,3,4,3,2,2
6317,2005-11-21,6,4,4,6,5,4,4,5,6,6,6,0,2,4,6,2,6,3,4,5,0,6,6,5,6,6,4,5,4,5,4,2,6,6,6,6,6,4,5,2,5
6411,2005-11-04,6,1,1,5,2,2,4,4,1,5,5,4,4,5,3,3,0,3,5,6,5,0,5,4,5,4,4,1,4,6,3,4,1,5,5,1,6,3,5,4,5
6468,2005-10-27,1,4,5,1,1,4,3,1,0,6,5,5,6,3,4,6,1,3,4,4,3,1,5,4,4,5,3,2,2,3,3,6,3,3,5,4,3,5,5,5,6
6504,2005-10-30,6,1,4,5,0,3,2,2,2,6,6,4,0,3,0,3,5,4,4,1,3,0,5,5,1,5,3,0,2,3,3,0,3,3,6,4,6,5,1,2,3
6563,2005-12-16,2,3,3,6,1,2,4,4,4,5,1,5,2,5,3,3,2,1,2,2,4,4,5,3,6,3,3,4,1,5,0,4,3,5,6,2,1,2,3,2,2
6675,2005-10-26,6,2,3,3,4,4,4,4,2,5,2,3,4,4,3,5,0,4,4,3,3,2,4,4,3,4,4,2,3,2,2,4,2,3,4,2,5,3,4,4,5
6742,2005-11-21,5,4,3,4,4,5,4,4,1,,5,4,4,4,4,5,3,3,5,5,5,2,4,6,5,3,5,1,5,5,4,5,1,5,5,1,6,6,5,6,5
6743,2005-11-21,6,1,4,4,3,3,3,3,1,6,4,5,4,2,5,4,4,3,4,2,3,2,4,6,3,4,3,2,3,6,1,6,1,4,5,1,5,5,3,5,5
6745,2005-11-21,2,2,4,1,3,4,2,4,2,5,6,3,1,4,3,4,1,4,5,3,2,1,1,3,5,3,2,2,2,4,3,5,4,3,1,3,5,4,3,5,4
6746,2005-11-21,5,1,5,1,4,5,5,5,2,4,5,3,2,4,2,6,5,5,5,2,3,3,3,4,1,5,5,3,,4,4,5,1,4,1,1,5,3,3,4,5
6747,2005-11-21,6,5,5,3,5,5,2,2,3,6,3,4,4,4,3,6,0,4,5,4,1,2,4,6,3,3,5,3,4,2,2,5,2,3,3,3,5,5,5,5,5
6748,2005-11-21,3,3,4,3,4,5,3,3,1,6,5,2,4,4,5,5,3,4,5,4,2,4,5,6,4,6,3,1,3,5,4,6,0,5,5,1,6,5,5,5,5
6751,2005-11-21,6,1,0,5,2,2,1,5,0,6,3,0,5,5,6,5,0,6,4,1,1,1,5,6,5,6,6,1,0,1,4,2,0,5,6,0,6,4,5,6,5
6753,2005-11-21,3,4,2,5,4,4,1,1,1,4,4,4,5,2,5,5,3,3,3,1,2,1,5,4,5,5,5,1,1,3,1,5,1,3,6,1,4,3,2,4,5
6754,2005-11-21,5,2,3,1,4,4,2,1,1,5,4,4,2,3,3,5,0,2,4,2,3,3,1,5,1,4,3,2,3,3,2,5,1,4,3,2,6,4,5,5,5
6757,2005-11-21,6,1,0,2,4,5,2,1,5,5,5,4,5,2,5,5,0,4,1,4,2,1,6,1,1,4,6,1,,5,1,6,0,3,6,1,5,5,5,6,6
6764,2005-11-21,6,6,6,1,2,2,2,2,6,3,2,0,4,4,5,,0,2,2,6,5,6,2,3,5,1,3,6,3,3,3,4,6,0,1,3,3,4,4,2,4
6765,2005-11-21,3,5,6,5,4,6,6,6,1,5,5,1,1,6,0,5,3,5,4,6,5,,6,5,5,6,3,0,6,5,6,6,1,6,6,1,4,3,6,5,6
6768,2005-11-21,3,1,1,4,3,4,0,4,2,5,5,0,2,2,3,5,3,5,5,0,1,1,5,5,1,2,2,2,1,4,0,5,0,3,5,0,6,5,2,4,4
6769,2005-11-21,6,1,3,4,3,4,3,5,0,6,5,5,3,5,6,5,0,4,5,4,3,2,6,6,6,6,6,0,4,5,0,6,0,6,6,1,6,4,6,5,6
6770,2005-11-21,6,2,5,0,4,3,0,2,0,5,3,4,1,4,4,6,0,2,5,1,0,2,4,5,5,3,5,0,2,3,1,5,1,5,4,1,6,3,4,4,5
6773,2005-11-21,6,1,5,6,5,5,3,3,3,5,5,5,3,5,2,6,6,5,5,3,3,3,5,5,5,5,5,3,3,5,3,5,1,5,0,1,5,5,6,0,6
6904,2005-11-22,2,2,3,1,1,2,2,2,0,5,5,3,3,2,4,4,0,1,4,4,2,2,5,5,5,4,3,5,3,3,2,4,2,5,3,2,5,4,5,3,2
6905,2005-11-22,6,1,1,3,4,4,5,6,0,5,5,5,4,5,2,5,0,3,4,3,6,1,5,3,1,4,5,1,3,4,4,5,1,5,3,0,5,4,5,5,5
6906,2005-10-25,6,2,4,3,3,3,4,4,2,4,5,4,2,4,3,4,0,3,3,5,3,4,2,4,5,4,2,2,4,5,1,3,1,4,5,1,5,4,5,5,2
6907,2005-11-22,3,3,3,6,6,6,6,6,0,4,6,6,6,6,4,6,3,1,1,4,6,6,0,,0,2,4,0,4,4,6,3,3,3,4,3,3,3,,3,5
6912,2005-11-22,5,4,1,1,2,2,5,4,2,5,3,3,2,3,4,3,1,1,1,5,4,5,5,4,4,4,4,3,1,3,1,4,2,4,4,,5,3,,3,4
6913,2005-11-22,3,1,4,3,4,4,5,5,1,5,5,4,5,5,3,4,0,3,3,4,4,2,2,5,5,4,5,1,4,4,4,4,1,5,3,1,5,2,3,4,4
6914,2005-11-22,3,2,4,4,3,2,2,3,3,3,2,3,3,3,5,3,3,3,3,2,3,3,5,2,4,4,3,3,2,3,2,3,3,3,5,3,6,3,3,3,3
6915,2005-10-25,5,2,2,5,3,5,4,3,2,5,3,1,4,5,1,5,5,5,5,3,4,2,5,5,1,5,5,1,3,4,3,5,1,5,6,0,5,1,5,5,5
6916,2005-11-25,6,2,3,4,4,5,1,3,3,5,3,2,4,2,1,6,0,3,3,3,1,3,6,3,5,3,6,4,1,2,0,6,0,3,6,2,5,3,4,6,5
6917,2005-10-25,6,4,4,1,0,1,4,1,0,4,2,3,2,2,4,5,3,3,4,1,0,1,0,1,6,1,4,0,0,3,0,0,0,3,2,1,6,2,1,4,4
6918,2005-11-22,0,4,2,3,0,2,2,0,2,3,3,5,0,4,0,5,0,2,2,5,3,4,5,2,6,1,0,2,6,3,1,3,5,2,4,6,5,2,3,1,2
6920,2005-11-22,3,1,2,5,3,3,3,2,2,4,4,2,3,2,3,4,3,4,5,4,4,5,2,3,4,5,4,2,3,3,2,5,2,2,5,2,4,5,4,4,2
6921,2005-11-22,6,2,4,3,3,5,4,5,2,5,5,4,4,5,3,5,0,3,4,3,2,2,2,4,3,3,4,1,3,5,3,5,1,5,4,1,5,4,5,5,5
6922,2005-11-22,5,0,5,2,3,6,6,5,0,6,6,5,1,5,3,5,5,5,6,3,4,0,3,6,3,6,4,0,5,6,4,5,1,6,1,0,6,5,5,6,5
6923,2005-11-22,3,1,2,2,2,2,2,2,1,3,5,5,1,3,3,3,3,3,3,3,4,2,2,3,4,4,2,3,2,2,1,1,4,3,3,4,5,3,4,3,1
6925,2005-11-22,5,2,5,3,4,4,4,5,3,5,5,2,2,4,2,2,1,3,5,2,2,4,4,,5,4,2,2,4,5,5,2,2,5,4,2,6,4,4,4,2
6926,2005-10-28,5,2,4,4,3,3,3,4,3,5,5,3,3,4,3,4,5,3,4,3,3,3,4,6,3,5,3,2,2,4,4,3,2,4,5,1,5,5,2,4,2
6927,2005-11-22,6,1,4,2,2,4,1,1,2,4,5,3,2,3,4,5,3,4,3,2,2,5,4,4,3,3,3,4,3,3,2,4,4,3,4,4,3,3,5,4,4
6929,2005-11-22,5,2,4,5,3,4,4,4,1,6,5,1,2,5,4,5,4,4,2,2,4,1,5,5,5,5,6,0,5,4,3,6,1,5,6,0,5,4,3,5,6
6930,2005-11-22,2,5,0,5,4,4,3,2,3,5,5,3,4,4,4,5,1,4,2,2,1,2,5,5,5,5,3,4,2,4,1,4,2,5,6,2,5,2,4,5,5
6932,2005-11-22,6,2,0,2,,5,0,0,1,5,4,4,6,2,4,4,5,5,4,0,1,3,1,5,5,2,6,3,1,1,0,6,1,3,3,1,5,4,5,5,6
6933,2005-11-22,6,1,6,0,4,5,5,5,0,6,5,6,3,4,3,6,0,3,4,2,4,0,6,5,3,5,6,0,5,6,4,5,1,5,6,1,6,6,5,6,5
6935,2005-11-22,4,2,3,4,4,3,4,5,4,3,5,4,3,4,3,4,2,3,2,3,0,4,3,2,3,4,5,4,4,2,3,5,2,4,6,2,4,2,5,3,6
6936,2005-11-22,4,2,2,2,2,4,1,3,3,4,2,4,3,2,3,4,3,2,1,0,1,1,5,5,5,4,3,4,1,1,2,5,3,4,4,2,3,2,3,3,5
6939,2005-10-25,6,4,5,4,2,3,1,4,5,1,3,4,1,4,4,3,0,1,4,2,0,5,1,4,5,5,1,5,1,3,5,2,4,3,6,5,4,3,1,1,2
