user_id,sex,age,id,q2616,q2617,q2618,q2619,q2620,q2621,q2622,q2623,q2624,q2625,q2626,q2627,q2628,q2629,q2630,q2631,q2632,q2633,q2634,q2635,q2636,q2637,q2638,q2639,q2640,starttime,endtime
128876,female,19.2,21,2,3,2,4,3,4,4,3,2,3,3,3,2,3,4,2,3,2,3,2,4,2,3,2,3,2008-02-06 13:41:24,2008-02-06 13:44:41
128890,female,18.1,22,2,3,2,3,3,2,3,3,3,2,3,3,,3,3,4,4,4,2,4,4,4,3,3,3,2008-02-06 14:12:16,2008-02-06 14:14:17
129139,female,18.7,23,2,2,2,3,1,2,4,2,3,2,2,4,3,3,,3,2,2,3,1,3,4,3,2,3,2008-02-07 10:36:18,2008-02-07 10:38:21
107248,female,19.8,24,4,,1,1,4,4,2,4,1,1,2,2,2,4,1,4,2,4,3,1,3,3,1,4,2,2008-02-07 12:23:58,2008-02-07 12:25:55
129165,female,21.8,25,4,4,1,1,4,3,4,4,2,1,3,4,3,4,1,4,1,4,4,1,4,4,1,2,1,2008-02-07 13:38:55,2008-02-07 13:40:52
130023,female,18.6,26,4,4,1,3,3,1,4,1,4,1,2,1,2,2,2,4,4,4,3,4,4,2,1,2,1,2008-02-11 11:21:20,2008-02-11 11:24:35
130042,female,20.4,27,1,4,3,3,1,1,4,1,4,4,4,3,1,1,4,2,4,2,4,3,3,2,3,2,4,2008-02-11 13:02:19,2008-02-11 13:04:59
130040,female,18.2,28,2,3,4,3,2,2,4,4,1,1,2,3,3,3,3,4,3,4,3,4,4,4,4,3,2,2008-02-11 13:10:39,2008-02-11 13:13:13
130041,female,19.4,29,2,4,1,3,2,2,3,2,2,2,2,1,2,2,2,3,3,3,2,1,4,3,2,3,2,2008-02-11 13:24:15,2008-02-11 13:26:40
130319,female,18.9,30,2,4,2,3,4,2,2,3,3,3,2,3,3,3,2,3,3,3,3,2,3,3,2,3,3,2008-02-12 10:27:47,2008-02-12 10:29:26
106385,female,18.1,31,2,4,2,3,3,4,3,4,3,2,1,2,3,3,2,3,2,3,3,3,2,4,2,3,2,2008-02-12 11:10:03,2008-02-12 11:13:11
130342,female,19.2,32,2,4,1,2,4,4,3,1,3,2,3,1,1,4,2,4,4,4,2,2,4,4,1,4,2,2008-02-12 12:50:31,2008-02-12 12:53:51
130345,female,31.9,33,1,4,1,4,4,2,2,1,2,3,2,4,2,1,4,3,3,4,3,3,2,3,1,2,2,2008-02-12 13:31:12,2008-02-12 13:37:07
130582,male,22.3,34,2,2,3,4,2,3,4,3,4,3,2,3,3,3,4,2,3,2,2,3,2,2,3,2,3,2008-02-13 12:44:10,2008-02-13 12:47:25
130579,female,18.9,35,3,3,1,3,3,2,4,3,4,2,2,2,3,3,4,4,3,3,2,3,3,4,2,2,2,2008-02-13 12:50:03,2008-02-13 12:52:10
130589,female,,36,2,3,3,3,2,3,3,2,4,3,3,2,3,4,2,4,3,4,3,3,3,4,2,3,2,2008-02-13 13:24:07,2008-02-13 13:26:10
130773,female,19.9,37,1,3,2,1,3,2,4,1,3,4,4,1,1,2,3,1,3,2,1,4,1,3,2,2,2,2008-02-14 11:14:00,2008-02-14 11:15:59
130779,female,18.7,38,3,4,1,2,4,4,1,2,2,1,2,1,4,4,2,4,4,4,3,1,4,4,1,4,1,2008-02-14 12:33:12,2008-02-14 12:35:46
131614,female,18.3,39,1,4,4,3,4,4,4,4,2,3,2,4,3,3,1,4,4,4,3,1,3,4,1,4,2,2008-02-18 12:11:54,2008-02-18 12:13:50
131624,female,18.7,40,2,4,3,1,3,4,1,2,1,1,3,1,3,4,1,4,2,4,1,1,4,4,1,4,1,2008-02-18 13:06:13,2008-02-18 13:08:19
131626,female,19.3,41,3,3,2,,,,,,,,,,,,,,,,,,,,,,,2008-02-18 13:08:46,2008-02-18 13:09:27
131623,female,18.3,42,2,4,1,2,4,1,2,2,4,3,4,3,2,3,2,3,2,4,4,3,2,2,2,3,2,2008-02-18 13:30:59,2008-02-18 13:32:58
131661,male,18.1,43,1,4,3,3,2,3,3,2,3,3,2,2,2,1,2,3,3,3,3,2,3,2,3,4,3,2008-02-18 15:14:28,2008-02-18 15:16:40
131647,male,18.9,44,1,1,4,1,1,1,1,1,4,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,4,2008-02-18 15:15:30,2008-02-18 15:16:43
131653,female,18.9,45,3,4,3,4,2,2,4,2,4,3,4,2,3,2,3,2,3,2,2,3,2,2,2,2,3,2008-02-18 15:15:12,2008-02-18 15:16:53
131663,female,18.9,46,1,2,3,4,1,3,4,1,4,4,4,3,1,2,3,3,4,2,4,4,3,1,3,1,4,2008-02-18 15:15:31,2008-02-18 15:17:40
131664,female,19.0,47,2,3,2,1,1,4,3,1,4,4,1,2,2,2,1,1,2,2,4,2,2,3,1,1,2,2008-02-18 15:20:45,2008-02-18 15:23:02
128443,female,18.1,48,3,4,1,2,4,4,3,3,3,1,3,2,4,4,2,4,2,2,2,2,4,4,2,4,2,2008-02-18 15:22:03,2008-02-18 15:24:07
131656,female,25.3,49,4,4,2,3,2,2,4,3,3,2,2,3,4,4,1,3,1,2,4,3,2,4,1,2,1,2008-02-18 15:19:25,2008-02-18 15:24:07
131654,male,23.8,50,2,4,3,4,1,4,3,1,4,2,3,2,3,2,3,3,3,3,4,4,1,2,4,2,3,2008-02-18 15:21:50,2008-02-18 15:24:12
106378,female,18.8,51,4,3,3,3,3,3,3,4,2,1,3,3,4,4,3,4,3,4,3,1,4,4,1,4,2,2008-02-18 15:23:47,2008-02-18 15:26:11
131658,male,19.0,52,3,3,2,3,3,2,4,1,4,4,4,4,2,3,4,3,3,4,4,4,4,4,3,2,3,2008-02-18 15:23:55,2008-02-18 15:26:15
131670,female,19.0,53,2,4,1,2,4,4,2,3,2,3,1,1,3,4,2,4,3,4,4,4,4,4,1,4,1,2008-02-18 15:24:04,2008-02-18 15:27:28
131662,male,18.4,54,1,3,4,4,3,4,4,3,3,2,3,2,2,1,2,3,3,3,3,2,4,3,3,2,2,2008-02-18 15:26:10,2008-02-18 15:28:58
108994,female,,55,4,4,1,4,4,4,1,4,3,1,1,1,4,4,1,4,1,1,1,,4,4,3,4,1,2008-02-18 15:28:59,2008-02-18 15:30:47
131671,female,18.4,56,2,3,1,4,4,3,2,2,3,3,3,3,2,4,3,4,2,3,2,2,3,2,1,3,2,2008-02-18 15:27:31,2008-02-18 15:30:49
131667,male,18.3,57,1,4,1,3,4,4,2,1,3,2,4,1,1,3,1,4,3,4,4,2,4,4,2,4,3,2008-02-18 15:28:58,2008-02-18 15:31:32
131650,female,19.4,58,4,4,4,1,4,1,1,4,1,4,1,3,4,1,1,4,1,4,1,1,4,4,4,4,1,2008-02-18 15:30:13,2008-02-18 15:32:39
131645,female,18.2,59,1,4,3,3,3,3,4,2,4,4,2,1,2,4,4,3,4,3,1,3,4,3,1,2,3,2008-02-18 15:31:45,2008-02-18 15:33:41
131665,male,18.6,60,2,3,3,4,3,3,3,2,4,4,4,4,2,3,3,2,3,3,3,2,2,3,2,2,1,2008-02-18 15:32:22,2008-02-18 15:35:45
131673,female,20.4,61,1,3,3,3,2,3,3,1,3,3,1,4,1,2,2,2,3,3,1,2,3,3,3,2,3,2008-02-18 15:33:43,2008-02-18 15:36:11
131655,female,18.0,62,2,4,1,3,3,2,3,2,4,3,3,4,3,2,4,2,4,4,4,3,1,3,2,2,2,2008-02-18 15:34:13,2008-02-18 15:36:51
131648,male,18.9,63,3,4,2,4,2,4,1,2,4,3,3,2,2,2,2,2,3,3,1,1,3,2,3,4,3,2008-02-18 15:40:10,2008-02-18 15:41:58
131666,male,21.3,64,1,4,2,4,4,4,3,2,2,3,2,1,2,1,4,3,3,4,4,1,4,3,2,4,2,2008-02-18 15:39:44,2008-02-18 15:42:14
131651,male,19.9,65,1,1,3,2,1,1,4,1,4,4,4,4,1,2,3,1,2,2,4,4,1,2,3,1,4,2008-02-18 15:40:52,2008-02-18 15:42:53
131657,female,19.8,66,1,4,4,3,4,4,3,2,3,3,1,1,2,4,3,3,2,2,3,1,4,2,4,3,1,2008-02-18 15:41:49,2008-02-18 15:43:54
131644,female,18.4,67,2,2,2,3,2,4,4,3,3,4,4,4,2,3,3,2,3,2,4,2,2,2,3,3,3,2008-02-18 15:41:59,2008-02-18 15:44:49
131649,male,19.4,68,2,2,1,3,2,2,4,3,4,4,4,2,3,1,3,3,3,3,3,2,4,3,2,3,2,2008-02-18 15:42:25,2008-02-18 15:44:50
131652,male,19.0,69,3,2,3,4,2,2,4,1,3,2,3,2,3,2,2,3,2,4,2,1,4,2,1,3,3,2008-02-18 15:44:25,2008-02-18 15:46:43
108708,male,18.3,70,2,4,1,4,2,4,2,2,2,3,2,2,4,1,3,4,1,4,2,1,4,4,1,2,3,2008-02-18 15:46:20,2008-02-18 15:48:43
131669,male,21.4,71,2,3,3,3,3,4,3,1,4,2,4,3,2,3,2,3,3,3,3,2,4,3,3,3,1,2008-02-18 15:50:04,2008-02-18 15:53:27
131668,female,49.6,72,3,4,3,3,2,3,4,1,3,2,4,3,2,3,3,3,4,1,3,4,3,2,2,2,3,2008-02-18 15:51:15,2008-02-18 15:53:45
131659,male,19.3,73,1,3,2,4,3,1,3,1,4,3,3,4,2,1,3,3,4,3,2,2,2,2,2,2,3,2008-02-18 15:53:40,2008-02-18 15:57:01
131672,male,,74,1,4,1,4,3,2,2,1,1,1,1,1,3,1,1,3,4,4,4,4,4,4,4,4,4,2008-02-18 15:57:12,2008-02-18 15:59:49
131798,female,20.4,75,4,4,1,2,1,2,3,2,2,3,3,2,4,4,,4,3,3,1,3,2,3,2,2,2,2008-02-19 10:21:42,2008-02-19 10:25:38
131810,female,18.2,76,3,4,4,3,2,4,3,4,2,1,2,2,4,4,1,4,2,2,4,2,4,3,3,2,3,2008-02-19 12:11:33,2008-02-19 12:13:46
131811,female,18.5,77,1,4,1,2,4,4,3,1,3,1,3,1,1,3,2,3,2,4,1,1,4,4,3,3,1,2008-02-19 12:13:31,2008-02-19 12:16:19
131818,female,21.8,78,1,3,1,3,2,3,3,1,3,1,3,1,2,4,2,3,2,4,4,1,3,4,1,2,2,2008-02-19 13:05:38,2008-02-19 13:08:09
131819,female,18.6,79,1,4,1,3,3,4,3,1,2,2,3,1,2,4,2,2,3,2,4,3,2,3,3,2,2,2008-02-19 13:14:39,2008-02-19 13:17:27
131835,female,22.0,80,2,4,3,3,4,1,3,1,4,3,3,1,1,3,,4,4,2,3,1,4,4,4,2,3,2008-02-19 15:12:59,2008-02-19 15:15:20
131968,female,19.5,82,2,3,1,2,2,4,4,2,4,3,3,3,1,4,2,3,3,2,3,4,2,3,3,1,3,2008-02-20 10:19:56,2008-02-20 10:22:46
131976,female,18.8,83,3,4,1,3,4,2,2,4,3,3,2,1,4,2,3,4,2,4,3,2,2,4,1,3,2,2008-02-20 11:40:51,2008-02-20 11:42:43
131991,male,18.9,84,3,2,3,4,2,4,4,3,4,3,3,3,3,2,1,3,3,4,2,4,4,4,1,2,4,2008-02-20 12:49:28,2008-02-20 12:51:30
132055,female,19.1,85,2,4,2,3,3,2,3,1,3,4,3,4,3,4,2,4,4,3,3,2,4,3,1,4,3,2008-02-20 14:05:33,2008-02-20 14:08:30
132073,male,19.3,86,1,2,2,3,2,3,3,1,2,2,2,3,2,3,3,3,3,3,2,4,4,4,1,4,2,2008-02-20 14:06:28,2008-02-20 14:08:49
132062,female,20.7,87,1,2,4,1,1,2,1,2,1,2,3,1,3,2,2,2,2,3,3,3,3,3,3,3,3,2008-02-20 14:06:49,2008-02-20 14:10:24
132074,female,18.3,88,2,3,2,2,2,3,3,2,3,3,3,2,2,2,2,2,3,3,3,2,2,3,2,2,3,2008-02-20 14:07:53,2008-02-20 14:10:26
132068,female,19.9,89,4,4,1,3,4,4,1,3,3,2,2,1,4,4,3,4,1,2,2,2,4,4,3,2,4,2008-02-20 14:12:25,2008-02-20 14:14:05
106409,female,20.0,90,1,3,3,3,2,2,3,3,2,2,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2008-02-20 14:14:08,2008-02-20 14:14:54
132066,male,18.6,91,2,4,2,4,3,4,3,3,4,1,2,3,3,3,2,3,3,2,2,1,3,3,2,2,1,2008-02-20 14:12:02,2008-02-20 14:15:12
106157,female,18.2,92,2,3,3,3,2,2,4,1,3,3,3,3,3,2,2,3,2,3,3,3,3,2,3,2,2,2008-02-20 14:14:26,2008-02-20 14:16:00
132077,female,18.5,93,1,2,2,3,1,3,4,1,3,3,3,3,3,4,4,2,3,4,3,2,3,2,4,4,2,2008-02-20 14:14:28,2008-02-20 14:17:16
129165,female,21.8,94,4,4,1,1,4,4,3,4,3,2,2,4,4,1,1,4,1,2,1,1,4,3,1,2,2,2008-02-20 14:16:02,2008-02-20 14:18:19
132063,male,19.4,95,1,2,3,4,3,2,1,2,3,4,3,2,1,2,3,4,3,2,1,2,3,4,3,2,1,2008-02-20 14:28:29,2008-02-20 14:29:09
132072,male,18.7,96,2,4,3,2,3,4,4,2,4,3,4,3,3,1,2,3,3,3,3,2,3,3,2,2,3,2008-02-20 14:28:50,2008-02-20 14:30:34
132078,female,19.1,97,1,4,2,3,3,4,3,1,1,2,1,4,2,2,2,3,2,4,2,3,4,4,1,3,3,2008-02-20 14:28:18,2008-02-20 14:31:32
106151,male,19.4,98,4,4,4,4,2,2,2,1,4,4,4,4,4,4,3,4,2,2,2,2,3,2,2,,3,2008-02-20 14:32:09,2008-02-20 14:34:14
132065,female,17.9,99,2,3,1,2,3,3,3,3,3,3,2,2,2,4,2,2,2,3,3,2,2,3,2,2,2,2008-02-20 14:39:09,2008-02-20 14:41:15
132080,female,19.2,100,2,4,1,3,3,4,2,2,3,3,2,3,2,2,2,2,2,3,2,2,2,2,2,1,2,2008-02-20 14:42:10,2008-02-20 14:43:17
132076,male,19.6,101,3,4,1,2,3,4,1,4,2,2,2,3,4,4,2,4,2,3,1,3,4,4,1,3,3,2008-02-20 14:42:59,2008-02-20 14:46:52
132081,female,19.4,102,1,2,1,3,3,2,4,2,3,4,4,1,1,2,4,3,3,2,4,,3,2,2,2,3,2008-02-20 14:45:32,2008-02-20 14:48:29
132097,male,18.7,103,,3,3,4,3,3,4,1,3,3,3,2,1,4,4,4,3,4,4,1,3,4,1,1,1,2008-02-20 15:32:10,2008-02-20 15:34:08
132260,female,20.8,104,2,4,1,1,4,4,2,3,2,3,2,2,4,,4,4,2,4,3,2,4,3,1,4,1,2008-02-21 13:45:58,2008-02-21 13:48:54
132275,male,18.7,105,3,4,2,2,3,4,4,2,4,3,4,1,4,1,3,3,4,4,2,1,4,4,1,2,2,2008-02-21 15:30:39,2008-02-21 15:32:12
132435,female,18.4,106,2,4,1,3,4,4,4,3,2,2,2,1,4,2,3,4,3,2,2,1,4,4,1,2,2,2008-02-22 11:08:03,2008-02-22 11:11:05
132433,female,18.0,107,3,3,2,2,3,4,2,2,2,2,1,2,2,1,1,2,2,2,1,1,2,2,1,1,2,2008-02-22 11:10:38,2008-02-22 11:11:54
108983,male,18.2,108,2,4,2,3,2,3,3,2,3,1,3,1,2,1,2,3,2,2,3,4,2,4,1,2,3,2008-02-22 11:09:50,2008-02-22 11:12:12
132429,female,18.6,109,3,4,3,4,2,4,4,2,3,2,4,1,1,3,2,4,2,4,2,1,4,2,3,4,3,2008-02-22 11:15:20,2008-02-22 11:17:42
109010,male,19.0,110,2,1,3,2,1,4,4,2,4,4,4,4,2,2,3,2,2,3,3,2,3,1,4,2,3,2008-02-22 11:15:15,2008-02-22 11:18:58
130579,female,18.9,111,3,3,1,3,2,3,4,2,4,2,1,3,3,3,3,4,3,4,1,3,2,4,4,2,2,2008-02-22 11:18:10,2008-02-22 11:20:28
106397,female,35.9,112,2,4,4,1,4,4,2,4,3,1,3,1,4,4,1,4,4,4,4,4,4,4,1,4,4,2008-02-22 11:24:21,2008-02-22 11:26:32
108949,male,19.5,113,2,4,3,3,2,3,3,1,4,2,3,2,3,3,2,2,4,3,2,3,2,3,2,1,2,2008-02-22 11:33:09,2008-02-22 11:35:10
132434,female,19.2,114,3,3,3,3,2,3,4,2,4,4,4,4,1,4,4,2,4,1,3,2,2,2,3,1,2,2008-02-22 11:33:22,2008-02-22 11:36:33
108961,male,27.2,115,,,,,,,,,,,,,,,,,,,,,,,,,,2008-02-22 11:40:03,2008-02-22 11:40:11
132432,male,19.1,116,1,2,4,3,1,2,4,1,4,4,3,3,1,2,2,2,3,2,4,2,1,3,4,2,4,2008-02-22 11:42:50,2008-02-22 11:46:11
132431,male,18.6,117,1,2,4,4,1,1,4,1,4,4,2,4,1,1,4,1,3,2,4,3,1,1,4,1,4,2008-02-22 11:45:37,2008-02-22 11:48:25
132436,male,24.1,118,1,3,2,3,3,3,4,2,4,3,3,3,2,2,3,2,2,2,4,1,3,3,3,2,3,2008-02-22 11:46:31,2008-02-22 11:50:54
132440,female,20.2,119,1,3,3,3,3,1,4,1,4,4,3,3,1,2,4,2,4,2,4,3,3,4,1,2,4,2008-02-22 11:47:55,2008-02-22 11:51:28
132442,male,19.9,120,3,2,2,4,2,1,3,1,4,3,3,2,1,1,1,3,2,2,3,1,3,4,4,4,3,2008-02-22 11:52:37,2008-02-22 11:55:57
115036,male,19.6,121,1,3,3,4,2,2,4,1,4,3,4,3,2,2,3,2,4,2,2,3,4,2,4,3,4,2008-02-22 11:56:26,2008-02-22 11:58:36
132437,female,20.9,122,1,3,3,3,4,3,3,1,3,1,2,4,2,2,3,4,2,2,4,1,4,3,3,4,4,2008-02-22 11:55:38,2008-02-22 12:00:11
132472,male,18.2,123,2,2,3,3,2,3,3,2,3,3,3,4,2,3,3,3,3,4,2,3,3,3,2,3,3,2008-02-22 14:09:42,2008-02-22 14:11:25
132475,female,20.4,124,2,4,3,3,3,2,3,3,4,1,4,4,3,4,2,3,1,2,3,4,1,3,1,1,2,2008-02-22 14:11:36,2008-02-22 14:14:43
132477,female,19.3,125,2,2,2,3,3,3,4,3,2,3,3,4,3,3,3,2,3,3,3,3,2,2,2,3,3,2008-02-22 14:15:15,2008-02-22 14:17:08
132470,male,18.8,126,3,3,2,4,3,2,3,4,3,3,3,4,4,3,4,3,3,2,3,3,2,3,3,2,3,2008-02-22 14:18:17,2008-02-22 14:20:17
132479,male,18.6,127,1,3,2,1,3,4,3,1,2,3,3,2,1,2,2,3,2,3,4,2,4,1,1,4,2,2008-02-22 14:19:31,2008-02-22 14:22:02
107613,female,20.1,128,4,4,1,2,4,4,2,2,2,4,2,2,4,1,2,4,1,4,2,1,4,4,1,4,1,2008-02-22 14:23:04,2008-02-22 14:25:19
132480,female,18.8,129,1,4,1,3,3,3,4,3,3,3,3,4,3,4,3,2,3,4,2,2,4,3,1,3,1,2008-02-22 14:23:56,2008-02-22 14:25:55
132483,female,19.1,130,2,3,1,1,3,3,3,3,1,2,1,3,4,3,2,4,1,3,2,2,3,4,1,2,1,2008-02-22 14:26:42,2008-02-22 14:29:03
132481,female,18.4,131,3,4,1,3,2,2,3,3,3,2,1,2,3,2,3,3,2,2,2,2,3,3,3,2,2,2008-02-22 14:26:30,2008-02-22 14:30:06
132476,male,19.2,132,1,2,3,4,1,2,4,1,3,3,2,3,2,3,3,2,3,2,1,4,3,2,3,2,3,2008-02-22 14:32:33,2008-02-22 14:34:20
106660,male,21.7,133,2,2,1,1,2,2,1,2,1,2,1,2,1,3,2,2,2,2,1,1,1,1,1,1,1,2008-02-22 14:34:47,2008-02-22 14:35:27
132474,female,19.7,134,2,4,3,3,2,4,4,2,4,2,3,4,2,2,2,2,1,2,2,2,3,3,4,4,3,2008-02-22 14:42:35,2008-02-22 14:44:45
132491,female,18.6,135,2,4,1,3,2,4,3,3,4,1,4,3,3,3,2,2,3,2,3,3,2,2,3,4,2,2008-02-22 14:45:38,2008-02-22 14:47:30
132482,female,18.8,136,2,4,2,3,4,4,3,2,4,3,3,3,3,3,3,4,3,4,2,1,4,4,2,4,1,2008-02-22 14:49:45,2008-02-22 14:52:34
132473,male,21.6,137,2,3,2,4,2,2,4,1,3,4,2,3,2,2,4,2,3,1,4,3,2,2,3,2,1,2008-02-22 14:51:22,2008-02-22 14:54:19
136091,female,18.2,138,1,4,2,2,3,3,2,3,1,2,1,1,3,3,2,3,1,3,2,2,3,3,2,3,2,2008-03-11 11:12:55,2008-03-11 11:15:01
108977,female,18.7,139,2,4,2,2,3,4,3,3,2,4,2,2,3,3,2,3,2,4,2,4,4,4,1,4,2,2008-03-11 11:11:58,2008-03-11 11:16:00
136099,female,19.7,140,3,4,1,4,4,3,2,3,2,3,3,2,2,3,2,3,2,3,2,2,3,3,1,2,2,2008-03-11 11:14:12,2008-03-11 11:16:19
136106,female,23.2,141,2,4,1,4,2,2,3,1,4,3,2,3,2,2,2,2,2,2,3,2,2,4,3,2,2,2008-03-11 11:12:53,2008-03-11 11:17:27
107273,female,19.4,142,2,3,1,4,3,3,3,2,2,2,2,1,3,2,2,4,2,4,2,1,4,4,2,3,1,2008-03-11 11:16:00,2008-03-11 11:18:41
107272,female,18.3,143,3,2,1,3,3,3,3,4,1,2,2,2,4,3,2,3,2,3,2,2,3,4,2,3,2,2008-03-11 11:15:41,2008-03-11 11:18:44
136096,female,19.3,144,2,4,3,4,3,2,3,1,4,3,3,4,3,4,2,3,2,3,2,2,3,4,1,3,2,2008-03-11 11:16:01,2008-03-11 11:19:03
107248,female,19.9,145,3,4,4,3,4,4,1,3,1,3,2,1,4,4,2,3,2,2,3,1,4,4,4,4,4,2008-03-11 11:16:18,2008-03-11 11:19:08
136104,female,18.2,146,2,4,2,3,3,4,4,3,2,1,3,4,3,3,4,4,2,3,4,2,3,4,1,2,1,2008-03-11 11:17:37,2008-03-11 11:19:36
106385,female,18.2,147,2,4,1,2,4,4,2,3,3,2,1,2,3,3,3,3,2,4,3,3,2,4,2,3,1,2008-03-11 11:17:27,2008-03-11 11:20:01
136100,female,19.0,148,4,4,1,3,3,3,4,4,3,1,3,1,3,4,2,3,3,2,,4,4,4,1,4,1,2008-03-11 11:17:23,2008-03-11 11:20:37
136090,female,19.5,149,4,4,1,1,4,4,1,1,1,1,1,4,4,1,1,4,1,4,1,4,4,4,3,4,1,2008-03-11 11:18:40,2008-03-11 11:20:38
108974,female,18.3,150,2,3,1,3,3,4,4,3,2,3,3,3,4,4,3,4,3,4,3,2,3,4,3,3,2,2008-03-11 11:22:06,2008-03-11 11:24:17
136097,male,18.1,151,2,3,3,3,2,3,4,2,4,3,4,3,1,2,3,3,3,3,3,2,2,1,3,2,4,2008-03-11 11:22:33,2008-03-11 11:25:13
136101,male,21.7,152,1,2,4,4,1,3,4,1,4,3,3,4,1,2,3,3,2,3,4,2,3,1,2,2,4,2008-03-11 11:25:22,2008-03-11 11:28:53
71253,male,19.1,153,1,4,2,2,2,4,3,1,3,4,2,3,1,4,2,1,1,2,4,4,2,1,1,2,3,2008-03-11 11:26:22,2008-03-11 11:29:26
136093,female,18.2,154,3,4,1,2,4,4,3,4,2,2,1,1,4,3,,2,1,3,2,1,4,4,1,4,4,2008-03-11 11:27:06,2008-03-11 11:29:50
136105,female,22.5,155,2,4,1,2,4,2,2,4,2,2,1,3,4,4,2,4,2,3,3,2,3,4,1,3,1,2008-03-11 11:27:47,2008-03-11 11:30:27
107262,female,18.8,156,2,4,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,2,3,2,3,2008-03-11 11:29:59,2008-03-11 11:31:55
136103,female,19.1,157,2,4,3,2,3,3,4,1,4,2,2,1,3,2,3,4,2,3,4,2,4,3,1,4,2,2008-03-11 11:31:27,2008-03-11 11:33:22
136087,female,18.6,158,1,3,2,3,3,4,4,2,3,1,3,1,2,3,2,3,4,3,2,4,4,2,2,4,2,2008-03-11 11:32:02,2008-03-11 11:34:46
106549,female,20.0,159,2,4,1,1,4,4,2,3,2,1,2,2,4,3,2,4,2,4,4,3,3,3,2,1,1,2008-03-11 11:32:02,2008-03-11 11:35:06
136095,female,20.7,160,1,2,1,2,2,1,1,1,4,3,3,4,2,3,2,3,2,2,4,3,2,2,3,2,2,2008-03-11 11:33:45,2008-03-11 11:35:30
136088,female,19.3,161,2,4,1,3,4,4,2,3,3,4,1,1,4,4,1,4,2,3,3,1,4,4,1,3,1,2008-03-11 11:33:18,2008-03-11 11:35:46
136094,female,19.2,162,1,4,3,3,2,2,4,2,4,2,4,3,2,2,3,2,3,2,3,3,2,2,3,1,1,2008-03-11 11:34:55,2008-03-11 11:36:57
107249,female,18.1,163,3,4,3,1,4,4,2,4,2,1,2,1,4,4,3,4,3,4,2,2,3,4,2,3,2,2008-03-11 11:37:00,2008-03-11 11:39:32
136092,female,23.2,164,1,2,1,3,2,2,3,3,4,3,3,2,3,3,2,3,3,2,3,3,2,2,4,2,3,2008-03-11 11:39:11,2008-03-11 11:41:57
136089,female,19.0,165,1,3,3,3,2,3,3,1,3,2,3,3,1,4,3,3,4,4,1,3,3,2,2,3,2,2008-03-11 11:42:41,2008-03-11 11:44:44
136102,female,18.5,166,2,4,4,2,4,4,3,3,2,1,3,1,4,3,2,2,2,2,3,1,3,2,4,4,1,2008-03-11 11:44:58,2008-03-11 11:47:37
