id,user_id,date,moral1,moral2,moral3,moral4,moral5,moral6,moral7,sexual1,sexual2,sexual3,sexual4,sexual5,sexual6,sexual7,pathogen1,pathogen2,pathogen3,pathogen4,pathogen5,pathogen6,pathogen7
2752,33329,2009-01-16,3,6,4,4,6,5,3,4,1,0,3,1,3,1,3,3,2,5,4,2,3
3594,34310,2009-05-06,2,3,2,5,4,2,2,3,0,3,6,3,6,6,4,3,4,4,2,1,1
26188,34951,2014-01-04,6,6,6,6,6,6,6,1,0,3,4,6,3,6,6,6,6,6,6,6,6
3783,34984,2009-05-26,4,5,4,6,4,5,4,0,0,1,0,1,3,1,6,6,4,4,6,2,5
2353,37579,2008-12-01,6,6,5,6,6,6,5,5,0,0,3,6,6,6,6,4,4,5,6,6,4
6302,39318,2010-05-20,2,4,1,4,5,6,0,1,0,0,1,0,0,1,3,2,3,2,3,2,4
1657,42857,2008-10-28,4,5,2,4,3,3,2,2,0,1,1,1,1,4,3,5,2,2,6,4,3
5429,43029,2010-01-02,1,1,1,3,6,4,2,2,0,1,4,6,6,6,4,6,6,6,6,6,4
803,43791,2008-08-31,4,4,4,5,5,4,4,0,0,0,3,5,1,0,4,5,1,2,5,1,3
710,44759,2008-08-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,2,1
14770,47308,2012-03-19,5,6,5,6,4,5,6,1,1,1,1,4,6,1,5,2,2,6,3,2,5
7107,47606,2011-02-08,3,4,,5,4,4,5,,0,0,3,1,6,0,3,3,2,2,2,1,4
62,47938,2008-07-21,4,5,3,5,2,5,2,1,4,0,1,1,5,4,5,3,1,1,4,4,4
39342,48303,2017-05-22,4,5,4,4,6,4,5,2,1,4,1,1,3,1,5,5,4,4,4,4,5
1098,48800,2008-09-30,4,5,1,4,2,6,4,1,1,1,4,4,6,0,6,2,2,6,6,5,1
4556,48861,2009-10-13,5,5,4,5,4,4,4,0,0,0,1,2,6,0,5,2,4,3,4,4,5
11833,49958,2011-11-12,6,6,2,3,6,0,0,4,0,0,0,3,0,0,4,3,2,0,1,3,1
988,51564,2008-09-20,3,6,2,6,5,5,2,3,0,0,5,1,5,0,4,2,4,3,6,5,4
38222,51771,2016-08-04,2,6,4,6,6,5,4,0,0,0,6,0,6,0,5,2,5,5,5,2,3
10558,52689,2011-10-07,3,3,2,3,5,2,2,0,1,0,1,0,0,2,4,1,3,2,2,3,4
23823,53008,2013-09-25,4,5,5,4,5,5,5,1,0,0,3,0,0,3,6,5,4,2,5,5,6
3455,53597,2009-05-01,3,5,3,4,6,2,5,0,1,0,2,3,1,1,5,4,4,3,3,4,5
2748,53866,2009-01-16,3,5,6,3,6,3,5,5,0,0,6,6,5,0,6,4,5,1,6,1,1
20306,56604,2013-01-17,0,1,0,5,3,1,1,0,0,0,0,2,0,0,1,1,2,1,1,2,2
4034,56802,2009-07-17,3,5,2,5,2,4,4,0,0,1,5,4,6,2,3,6,5,3,5,1,6
6991,58558,2011-01-06,5,6,6,5,6,6,6,4,3,6,3,6,6,6,5,3,3,2,3,2,3
4221,59050,2009-08-11,4,3,4,5,4,2,4,4,0,0,2,4,5,0,5,3,3,2,4,5,6
2229,59389,2008-11-24,4,5,4,4,5,3,4,1,0,0,4,2,5,0,5,1,3,4,5,5,2
20632,62468,2013-02-05,4,4,4,5,4,5,4,3,2,1,3,1,3,1,4,4,4,5,4,5,4
33172,63298,2014-12-12,3,5,4,6,5,4,4,0,0,1,0,0,1,3,5,2,1,1,1,2,4
26311,65329,2014-01-10,3,3,3,4,3,5,3,1,5,5,2,2,0,5,4,1,0,3,1,3,1
3637,65473,2009-05-11,2,3,4,5,4,4,3,1,0,0,4,0,3,1,5,6,2,6,5,6,1
3385,65697,2009-04-17,5,2,5,1,0,6,0,5,1,3,2,2,5,5,2,1,3,1,1,3,5
3641,66134,2009-05-11,3,5,6,6,6,3,5,1,0,0,0,0,1,1,4,3,3,1,4,4,5
2673,67077,2009-01-05,6,6,6,6,6,6,6,6,3,5,5,6,4,3,,4,0,5,4,3,6
3328,67108,2009-04-12,3,4,2,4,2,2,4,0,0,0,0,0,2,2,3,2,3,2,3,4,4
256,67479,2008-08-12,1,6,2,6,6,,2,0,0,0,0,0,4,0,5,2,5,1,4,3,6
274,67835,2008-08-13,3,4,3,4,6,2,3,3,0,0,4,1,6,4,6,3,3,4,4,4,5
3416,68437,2009-04-24,5,5,5,5,5,4,4,2,1,6,5,6,3,6,4,2,2,2,4,4,3
1765,69027,2008-11-02,4,5,5,5,5,4,5,4,5,4,2,4,6,5,3,5,4,2,2,4,5
24679,69268,2013-10-20,4,6,5,5,5,4,5,3,0,1,2,2,5,0,5,2,2,2,1,3,2
32986,70172,2014-12-03,5,6,4,6,3,6,6,3,0,0,0,0,2,0,5,3,3,4,4,4,5
28153,70272,2014-03-23,4,6,4,6,5,5,4,4,1,3,5,6,1,6,6,6,1,6,6,5,6
1799,70672,2008-11-04,3,3,4,5,3,3,5,5,2,0,2,4,5,1,5,3,4,4,6,6,4
2550,71168,2008-12-16,1,3,2,2,4,3,1,3,6,1,5,5,5,6,1,2,1,1,2,3,1
8183,71186,2011-09-08,6,6,,5,5,6,5,3,5,1,3,3,2,3,5,2,3,5,4,4,5
7122,71437,2011-02-10,0,1,0,3,1,0,1,0,0,0,0,0,1,4,4,1,1,2,4,2,2
6732,71955,2010-10-15,2,5,3,6,3,2,5,4,3,3,6,6,6,5,4,2,6,5,6,6,3
2590,72270,2008-12-23,5,5,5,5,5,6,5,2,0,4,0,6,4,2,1,2,1,2,2,1,3
37268,72289,2016-01-30,3,5,4,5,6,5,3,3,1,1,6,5,6,5,4,3,3,6,4,2,3
152,72482,2008-07-30,6,6,6,6,6,6,6,6,3,6,6,6,6,6,5,1,2,3,4,1,0
7439,74298,2011-04-02,5,6,4,3,5,6,5,4,3,6,6,5,6,3,2,3,1,4,5,1,4
21592,74780,2013-04-01,3,4,3,5,3,4,4,4,0,1,0,6,2,2,4,4,4,6,5,2,5
5015,75049,2009-11-20,2,6,6,6,6,6,6,2,2,2,4,2,6,3,4,5,6,6,5,6,6
1083,75416,2008-09-29,4,6,5,6,6,4,5,3,2,1,2,3,5,1,4,3,4,5,4,6,1
2592,77024,2008-12-23,2,4,5,6,3,5,3,3,0,0,6,0,6,0,4,2,3,3,5,5,0
2232,77404,2008-11-24,4,4,2,6,3,6,5,0,1,1,2,5,2,0,5,5,2,6,5,3,0
898,77603,2008-09-13,1,4,3,3,1,5,2,2,1,0,4,1,3,1,4,3,3,2,3,3,1
3288,77605,2009-04-05,3,4,5,3,5,5,3,3,1,0,0,1,0,3,4,4,4,6,4,5,4
3072,77791,2009-03-04,2,3,3,3,3,0,3,2,4,3,3,4,4,2,4,3,2,4,4,0,4
687,78932,2008-08-26,3,3,2,2,4,5,3,2,3,0,3,3,4,4,6,3,2,4,3,6,5
7044,80449,2011-01-18,1,2,2,6,2,2,1,0,0,0,0,0,4,0,2,0,1,1,1,1,2
2611,81212,2008-12-26,3,5,4,6,5,6,5,1,2,5,5,6,6,2,6,2,4,4,5,3,2
22904,82279,2013-07-20,1,1,2,3,0,0,4,1,0,1,0,1,4,5,5,2,0,3,6,0,4
4461,82619,2009-09-20,6,6,4,5,6,5,6,1,1,0,2,1,1,0,4,2,3,3,4,5,1
31087,82984,2014-09-24,5,5,4,5,5,5,4,1,0,0,1,0,0,0,6,3,4,5,3,6,5
31031,83661,2014-09-19,5,5,6,5,5,6,3,0,0,1,0,6,2,1,1,2,2,1,2,0,4
6367,84622,2010-06-13,4,6,6,6,6,6,6,2,0,0,0,1,0,0,6,5,6,2,6,5,6
199,85958,2008-08-08,2,6,6,5,3,4,2,6,6,6,5,6,6,6,6,6,6,6,6,6,6
4023,86442,2009-07-15,4,5,3,4,3,5,5,2,2,1,2,3,6,4,4,5,1,0,0,3,3
290,86446,2008-08-16,5,4,6,5,3,1,0,4,2,4,3,4,5,4,6,6,5,5,5,4,6
633,86589,2008-08-25,4,6,4,6,3,3,6,0,0,1,1,1,4,1,5,4,5,3,6,6,4
2826,86750,2009-01-28,6,6,0,6,5,6,4,3,0,0,0,6,5,6,5,0,1,4,5,3,6
2152,87232,2008-11-19,5,5,6,4,6,5,4,4,0,0,5,4,6,0,2,2,5,1,6,1,2
1833,87378,2008-11-05,2,4,3,2,2,5,3,1,0,0,1,3,4,0,4,1,1,3,2,6,0
1230,87584,2008-10-10,0,4,6,4,6,6,0,0,0,0,6,6,6,2,6,5,4,4,6,6,1
757,87874,2008-08-28,3,4,4,5,4,4,3,3,0,1,3,4,3,3,4,2,3,4,5,4,3
7036,88227,2011-01-16,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,1,1,4,3,0,1
28321,89355,2014-04-01,5,5,5,3,6,4,5,2,1,1,3,1,6,1,5,5,1,1,5,4,3
1794,91022,2008-11-04,2,6,0,5,6,6,3,0,0,0,5,0,0,0,6,5,5,5,6,6,5
4336,91503,2009-08-30,3,5,3,5,5,5,2,0,0,0,0,0,0,3,6,4,3,0,6,3,1
14330,92576,2012-02-23,0,6,0,4,0,5,4,0,0,0,1,0,4,0,6,1,4,6,5,5,1
2283,92907,2008-11-28,5,5,6,5,1,6,2,0,0,0,1,5,0,5,4,3,0,1,4,1,3
3612,92941,2009-05-09,3,5,3,5,3,5,4,4,3,1,4,4,5,4,4,4,3,5,5,3,5
6476,93120,2010-07-12,3,6,4,6,5,3,4,5,4,5,5,5,4,3,5,6,4,5,6,2,6
18898,93123,2012-11-03,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,4,3,5,6,4,0
1408,93770,2008-10-18,4,5,5,5,6,5,5,0,0,0,1,0,3,6,6,2,2,1,5,2,3
2207,94907,2008-11-22,2,5,4,5,4,5,5,3,0,0,1,3,3,5,6,4,2,4,4,5,5
3560,95309,2009-05-04,5,5,5,5,5,5,5,1,0,0,2,0,0,1,4,4,4,4,4,3,5
212,95622,2008-08-09,4,3,4,2,5,5,4,1,2,0,4,0,1,4,5,6,4,3,4,4,6
3378,95902,2009-04-16,2,5,5,6,6,4,5,4,2,5,5,6,4,5,1,2,1,0,4,4,1
2155,96313,2008-11-19,2,2,2,2,4,2,2,3,3,3,6,5,5,6,4,3,3,4,2,5,1
5778,96537,2010-03-05,5,5,3,4,5,5,5,0,0,0,3,0,4,3,6,0,1,4,5,1,2
4772,96575,2009-10-31,4,6,6,5,6,5,6,1,0,2,6,4,6,0,2,0,2,5,3,5,1
3264,97754,2009-03-31,4,6,4,5,6,5,5,4,0,2,5,5,6,4,6,6,6,2,4,4,4
16550,99171,2012-07-03,1,2,2,6,0,6,3,1,0,0,0,1,2,4,5,2,5,4,4,4,3
163,100115,2008-08-01,2,4,1,2,4,5,2,6,6,6,6,6,6,6,5,4,2,5,5,6,3
1821,101243,2008-11-04,0,5,4,5,5,2,2,0,0,1,5,0,3,1,6,4,1,3,5,6,3
4093,102261,2009-07-26,4,4,4,4,5,3,4,1,1,0,2,3,4,3,3,2,1,3,3,2,2
59,102317,2008-07-21,3,4,5,4,4,2,3,5,4,5,3,6,5,6,4,1,1,4,2,3,1
2999,102431,2009-02-22,3,6,5,6,4,4,2,1,0,0,4,4,3,0,6,6,6,4,5,5,5
34793,102699,2015-04-03,5,5,3,4,3,4,3,1,0,0,0,0,2,0,6,4,5,1,5,0,4
1055,102987,2008-09-27,6,6,3,4,6,6,0,3,3,0,5,2,5,3,6,5,5,3,6,6,6
3574,103176,2009-05-04,0,6,2,6,6,2,2,2,3,2,5,6,6,6,6,4,3,6,5,3,6
26596,103518,2014-01-22,2,5,5,5,2,1,4,3,0,1,0,1,2,0,4,2,3,6,4,3,1
26469,103812,2014-01-19,1,6,5,5,6,3,6,2,3,1,6,3,3,3,6,5,4,4,3,5,4
15649,104323,2012-05-01,6,6,6,6,6,6,6,0,0,0,0,6,0,6,6,6,0,6,6,6,6
3001,104682,2009-02-23,5,6,2,5,6,6,4,0,0,0,4,3,3,0,6,5,2,6,6,2,0
2827,104846,2009-01-28,1,3,0,1,1,2,1,5,6,4,2,5,4,6,3,1,2,4,0,3,4
3870,104850,2009-06-08,1,4,4,6,4,4,2,5,1,0,3,0,1,4,5,4,3,4,4,4,4
1944,106167,2008-11-12,3,3,3,4,3,3,3,6,6,4,6,6,6,6,6,3,5,4,6,6,5
7053,106225,2011-01-22,5,6,5,6,6,5,6,0,0,3,1,3,0,4,4,3,2,2,3,1,2
1516,106641,2008-10-22,3,5,6,6,4,6,5,4,5,3,4,5,2,6,4,4,3,4,5,3,6
2772,106777,2009-01-19,2,6,2,5,1,2,3,3,1,2,1,1,4,3,6,3,4,4,5,6,5
268,107297,2008-08-13,4,3,3,3,5,3,5,4,1,2,4,4,3,4,3,5,1,3,5,4,6
167,107440,2008-08-02,0,0,0,0,0,1,0,2,1,1,4,5,1,2,6,2,2,4,4,0,3
1785,107576,2008-11-03,3,3,1,5,3,3,3,1,1,1,4,0,3,5,4,3,5,3,5,6,2
1782,108335,2008-11-03,4,5,5,6,6,3,4,5,3,4,5,4,5,4,6,0,6,6,6,5,6
5121,109432,2009-11-28,0,4,1,2,4,4,3,0,0,0,1,1,0,2,5,1,4,5,4,1,0
4496,109744,2009-09-29,1,5,5,5,4,4,5,1,0,2,5,2,5,1,6,2,4,3,3,4,2
22943,109990,2013-07-24,3,5,3,5,5,5,4,1,0,0,2,1,3,0,5,1,3,3,4,5,1
34976,110306,2015-05-12,,,,,,,,,,,,,,,6,,,,5,,
13514,111385,2012-01-10,2,3,3,5,,3,,3,0,0,0,0,3,0,4,,4,3,2,,5
4305,111822,2009-08-24,2,4,5,4,6,5,4,1,1,1,6,3,5,1,5,2,5,5,6,6,0
289,113979,2008-08-15,0,5,3,4,4,6,2,0,0,2,6,6,5,1,2,1,0,1,1,3,4
19082,114723,2012-11-10,0,2,3,5,2,0,2,2,1,1,6,1,4,5,6,2,5,6,4,1,3
1859,119884,2008-11-06,4,5,3,5,4,4,2,1,1,0,3,3,6,1,5,5,5,4,5,4,4
3347,119961,2009-04-13,1,3,1,4,1,0,0,2,0,1,1,0,0,1,6,6,6,5,4,2,6
3406,121055,2009-04-20,0,5,2,5,4,6,5,0,2,1,5,0,2,2,4,3,1,4,4,5,1
9777,121348,2011-09-26,2,4,0,5,4,1,4,3,0,0,2,4,4,1,6,2,2,2,5,2,2
4353,121853,2009-09-04,4,6,2,6,4,3,5,1,0,0,0,2,6,0,6,6,3,5,1,5,6
2543,122300,2008-12-14,2,3,2,2,4,3,2,2,0,0,2,1,5,4,6,5,4,3,3,4,2
737,123075,2008-08-27,0,3,2,4,3,3,3,5,4,3,5,3,6,6,6,2,5,4,6,4,4
872,123748,2008-09-10,5,6,3,5,6,5,6,5,6,6,5,6,6,6,5,3,3,4,6,5,3
2129,123825,2008-11-18,0,2,1,4,1,2,2,0,0,0,4,2,2,2,5,1,3,2,2,2,1
3738,124443,2009-05-20,4,6,5,4,5,6,5,2,0,0,1,2,5,4,1,1,3,1,5,1,3
20,124756,2008-07-14,6,6,2,6,6,6,6,5,0,0,3,2,3,6,6,4,4,5,5,6,6
13510,126499,2012-01-10,4,3,6,6,5,3,6,6,5,1,,4,3,2,4,5,5,1,1,6,6
1221,127556,2008-10-09,6,6,6,5,6,4,6,0,6,0,0,4,0,0,4,0,4,4,5,5,6
2343,128189,2008-12-01,0,0,0,5,0,0,0,2,2,1,2,1,0,6,,5,4,3,5,4,4
7473,128394,2011-04-11,4,4,4,5,5,5,4,1,1,0,4,1,4,2,5,2,4,3,4,4,3
1842,128443,2008-11-06,3,6,4,5,4,4,3,5,1,5,5,5,4,4,6,4,3,2,6,5,0
39447,128727,2017-08-13,2,4,1,2,2,5,3,0,0,1,0,0,2,1,2,0,2,1,1,1,1
1769,128971,2008-11-03,2,4,3,2,1,1,3,3,3,0,4,1,2,3,6,2,4,6,6,2,3
28525,129645,2014-04-13,1,4,1,4,3,1,3,2,1,2,2,0,3,0,4,4,3,4,5,2,3
1372,130280,2008-10-16,2,3,3,0,2,3,3,1,1,3,5,1,6,3,5,4,1,1,4,2,0
144,130532,2008-07-29,3,2,0,3,1,1,1,4,0,1,3,0,1,0,2,6,1,2,6,6,3
1374,130834,2008-10-16,3,4,5,5,2,4,3,4,4,5,4,3,5,5,5,1,4,2,4,3,5
16994,131493,2012-08-13,6,6,5,6,6,5,6,0,0,0,1,0,2,0,4,1,6,2,4,1,3
6181,131633,2010-04-23,0,6,4,6,0,6,6,0,0,0,0,0,0,6,4,4,0,6,6,6,6
2370,133072,2008-12-02,5,5,5,4,4,5,5,6,6,6,4,4,4,5,2,1,3,1,3,2,2
35250,133155,2015-07-16,6,6,6,6,6,6,6,0,0,0,6,0,6,0,6,3,3,6,3,4,6
4620,134153,2009-10-19,1,4,3,5,0,5,2,0,0,0,4,0,1,4,1,0,2,0,6,3,0
7467,135175,2011-04-09,5,6,5,6,6,5,6,1,1,1,6,3,6,3,5,2,2,2,3,5,2
798,135781,2008-08-30,6,5,2,4,5,4,5,4,6,3,,4,6,6,5,4,4,6,5,4,2
1002,135877,2008-09-22,4,3,3,3,3,2,4,6,6,5,3,6,4,6,5,4,4,4,5,4,5
4275,135998,2009-08-19,2,4,3,5,5,4,4,4,3,2,2,5,4,4,5,4,4,5,3,2,3
2272,136671,2008-11-26,3,4,4,5,3,4,4,1,2,0,1,4,0,3,5,5,5,4,4,1,6
1129,136771,2008-10-04,2,5,3,5,3,2,4,6,5,4,1,6,6,1,2,6,4,3,5,4,6
37094,138445,2016-01-18,1,5,1,4,0,5,5,3,0,0,4,0,4,0,6,4,1,2,3,6,3
287,139115,2008-08-15,4,4,3,6,5,6,5,3,1,2,6,5,6,0,5,4,5,5,5,6,3
13530,139307,2012-01-10,6,6,6,6,6,6,6,1,0,3,1,0,0,1,5,4,2,4,2,0,3
16518,139316,2012-06-28,3,6,5,5,5,4,2,2,1,2,4,6,4,6,2,1,1,0,2,0,1
1028,139763,2008-09-24,6,6,6,4,5,6,2,3,2,4,3,6,6,4,6,3,3,2,4,3,4
7685,139836,2011-06-10,6,6,6,6,6,6,6,2,0,4,3,4,5,4,4,3,1,4,2,4,4
4001,140117,2009-07-09,0,0,1,0,0,1,1,1,1,0,1,0,0,4,4,0,1,3,1,1,0
191,140286,2008-08-06,3,4,3,6,5,2,3,1,2,0,1,0,2,0,3,2,2,1,3,2,4
5682,140827,2010-02-13,1,1,1,,1,2,1,2,0,2,4,2,5,3,4,5,4,4,4,4,5
2519,140882,2008-12-12,3,6,4,5,3,4,4,4,0,0,4,5,6,4,6,4,3,4,3,1,2
20226,141050,2013-01-11,4,3,3,4,5,4,4,3,0,1,5,2,3,5,2,4,2,5,5,6,4
37157,141209,2016-01-23,2,3,5,4,2,5,2,2,0,4,6,4,5,4,4,5,3,4,5,6,5
2165,141249,2008-11-20,4,6,5,6,6,2,5,2,1,1,5,5,6,0,4,6,3,2,5,6,6
28224,141336,2014-03-25,5,6,4,6,5,5,5,3,0,0,4,2,2,4,5,2,4,5,6,3,3
3932,141350,2009-06-22,3,2,0,4,3,4,2,2,0,0,1,0,0,0,3,4,2,3,4,4,3
1323,141691,2008-10-14,4,5,5,4,5,5,5,3,1,3,3,3,3,4,4,2,3,1,4,1,4
1868,142805,2008-11-07,3,5,4,4,6,3,4,1,0,0,0,1,1,2,5,2,3,4,3,3,4
5407,143098,2009-12-26,2,2,1,4,4,4,0,5,0,0,0,6,3,0,0,3,5,0,5,0,4
7872,143185,2011-08-07,6,5,6,5,2,6,6,0,1,1,1,2,4,2,1,1,0,1,2,5,2
11556,143302,2011-11-06,1,3,1,4,2,2,3,0,0,0,1,1,4,0,3,3,1,2,3,4,3
35438,143612,2015-08-18,4,2,5,3,6,5,5,3,0,0,1,0,1,1,6,4,5,3,6,2,2
21305,144329,2013-03-08,5,6,5,4,4,6,5,1,1,0,4,4,3,0,6,3,4,2,4,2,5
1539,144383,2008-10-23,4,6,6,6,6,6,4,1,1,1,3,3,5,6,5,2,1,5,5,6,5
12271,144694,2011-11-25,1,3,0,3,1,4,3,2,0,1,3,2,4,5,5,6,4,1,5,5,3
2875,144789,2009-02-03,1,1,2,4,1,1,1,1,2,0,0,0,0,0,6,3,2,4,5,3,6
5401,145171,2009-12-24,0,0,0,2,0,1,0,0,0,0,1,2,0,1,3,1,1,1,4,0,1
971,146136,2008-09-19,5,4,4,4,5,4,4,5,6,5,6,6,6,6,6,4,6,3,3,5,3
3173,146143,2009-03-17,1,5,5,5,4,5,4,4,0,0,3,4,6,0,4,2,3,5,4,5,3
3462,146156,2009-05-03,1,5,4,6,3,3,4,0,0,0,1,1,1,2,2,0,1,4,1,5,1
3902,147799,2009-06-15,3,3,2,3,3,3,3,1,0,0,1,2,4,1,2,1,0,6,1,0,1
16498,149664,2012-06-27,0,4,1,5,1,6,3,0,0,1,6,2,6,0,3,3,4,3,6,6,3
17400,149695,2012-09-05,2,1,1,4,3,2,3,1,3,1,5,5,5,3,5,5,2,5,6,5,5
27063,149774,2014-02-10,3,6,6,6,6,6,3,2,4,3,3,6,3,6,6,2,2,6,6,4,4
3272,150462,2009-04-03,5,5,3,4,5,5,3,1,0,0,0,0,1,2,2,0,0,1,4,4,4
2920,150476,2009-02-11,0,1,1,5,1,1,4,0,1,0,0,0,4,0,5,3,3,4,5,0,1
1463,150954,2008-10-21,2,5,0,5,2,3,2,1,2,0,3,3,3,2,6,4,4,3,3,4,4
2573,151495,2008-12-20,3,5,5,4,5,4,4,4,2,5,5,4,5,6,4,2,4,4,5,3,2
21113,151593,2013-02-26,5,6,2,5,0,1,1,0,0,0,4,4,5,0,6,5,5,1,4,1,5
39159,151633,2017-04-04,4,5,6,5,3,6,2,6,4,0,4,0,3,6,4,4,6,6,6,6,4
277,151851,2008-08-14,6,5,2,6,6,1,3,4,,5,2,6,3,5,4,2,5,0,3,1,2
17972,152188,2012-10-02,1,3,2,4,3,1,3,6,6,3,6,6,4,5,5,2,3,2,4,0,1
917,152553,2008-09-13,1,1,0,1,0,4,0,0,2,1,5,0,0,6,6,2,4,3,4,5,1
815,152797,2008-09-02,5,6,6,5,6,6,5,2,2,1,3,1,1,5,6,4,4,4,4,2,3
4619,152861,2009-10-18,3,5,2,3,2,2,2,2,1,2,2,2,5,3,5,2,2,4,3,4,4
39371,152955,2017-06-13,6,6,3,6,6,6,6,1,0,0,2,1,4,4,5,0,5,4,3,6,3
3155,153073,2009-03-15,4,6,5,5,6,6,6,0,0,0,4,3,6,5,5,4,1,1,2,4,1
10239,153227,2011-10-01,5,6,6,5,5,6,5,1,3,3,2,1,5,3,3,1,0,0,1,1,4
10351,153244,2011-10-03,3,6,3,4,6,5,6,3,1,1,5,3,6,1,6,5,5,5,6,4,6
34725,153424,2015-03-24,4,4,4,4,4,4,4,2,1,2,2,3,5,5,5,2,4,1,4,4,5
25055,153818,2013-11-01,4,5,5,5,5,5,5,2,1,1,3,1,4,2,5,6,2,4,3,4,6
16,153949,2008-07-14,5,6,6,5,6,5,5,1,0,2,1,5,5,3,6,1,4,3,,6,6
300,154713,2008-08-18,5,5,5,5,6,6,5,6,2,6,1,6,4,6,1,4,2,5,4,3,6
14,155129,2008-07-13,2,6,0,5,2,0,2,2,3,0,3,5,6,5,1,6,1,6,1,6,3
3,155324,2008-07-11,2,4,3,5,2,1,4,1,0,1,2,2,6,1,4,3,1,0,4,4,2
4,155366,2008-07-12,6,6,6,3,6,6,6,0,0,0,0,0,0,3,4,4,5,5,4,6,0
5,155370,2008-07-12,6,6,4,6,6,6,6,2,6,4,3,6,6,6,6,6,6,2,4,4,6
6,155386,2008-07-12,2,4,0,4,0,0,0,6,0,0,6,4,4,6,4,5,5,1,6,4,2
15,155404,2008-07-13,4,5,6,4,4,4,4,5,4,3,5,6,4,4,5,6,5,4,5,4,5
7,155409,2008-07-12,4,5,5,4,5,1,5,3,0,1,5,2,0,0,5,5,3,4,4,2,6
9,155425,2008-07-13,3,6,3,5,6,3,5,2,0,0,5,2,5,3,6,2,3,2,5,3,6
8,155427,2008-07-13,2,5,2,6,3,2,3,5,2,1,6,3,1,3,5,6,6,6,6,6,2
10,155429,2008-07-13,2,6,4,6,0,5,3,5,1,1,0,3,3,6,6,4,6,5,6,5,6
11,155450,2008-07-13,6,6,6,6,6,6,6,5,1,6,6,6,6,6,6,2,3,6,6,6,6
12,155451,2008-07-13,6,6,4,6,6,6,6,5,4,4,6,6,6,6,6,3,5,6,4,0,0
13,155465,2008-07-13,4,6,3,6,5,6,6,2,0,1,6,6,6,0,5,5,3,3,3,1,1
17,155567,2008-07-14,6,6,6,6,5,4,6,1,0,6,1,6,4,0,6,6,3,6,6,6,0
18,155571,2008-07-14,2,5,0,3,5,0,4,2,6,1,5,5,6,6,6,6,6,6,6,6,6
